district,year,planted_ha,harvested_ha,production_mt,yield(mt/ha),yield,yield_h,zyield,flag
chadiza,2021,21732,20080,56880,2.62,2.6173384870237437,2.8326693227091635,1.1194572096468813,0
chadiza,2022,19204,19040,39201,2.04,2.0412934805248906,2.058876050420168,-0.3182928186767894,0
chama,2011,9937,9552,26811,2.7,2.698098017510315,2.806846733668342,1.54190024063007,0
chama,2012,7729,5703,16859,2.18,2.1812653642127056,2.9561634227599507,0.2596446078653001,0
chama,2013,8907,8625,14750,1.66,1.6560008981699788,1.710144927536232,-1.0435302514960505,0
chama,2014,8809,8073,21850,2.48,2.480417754569191,2.7065527065527064,1.0018381112017944,0
chama,2015,8790,6292,16782,1.91,1.9092150170648463,2.6671964399237127,-0.4153090503453801,0
chama,2016,9103,6884,11447,1.26,1.2574975282873777,1.6628413712957584,-2.032212347039783,1
chama,2017,11590,7698,26749,2.31,2.3079378774805868,3.47479864899974,0.5739175985864962,0
chama,2018,9888,7265,16494,1.67,1.6680825242718447,2.2703372333103924,-1.0135558816043038,0
chama,2019,9010,6109,16555,1.84,1.8374028856825748,2.709936159764282,-0.5934740896056564,0
chama,2020,12777,11903,30736,2.41,2.405572513109494,2.582206166512644,0.8161479621080748,0
chama,2021,11829,9482,28788,2.43,2.4336799391326402,3.0360683400126556,0.8858821499747711,0
chama,2022,10265,6910,21394,2.08,2.084169508037019,3.096092619392185,0.018750949724663832,0
chavuma,2011,2917,2599,4412,1.51,1.5125128556736374,1.697575990765679,-1.45811559848793,0
chavuma,2012,1787,1694,3403,1.9,1.9043088975937326,2.008854781582054,-0.7397530965508039,0
chavuma,2013,2067,1741,5416,2.62,2.6202225447508467,3.1108558299827687,0.5728827234088151,0
chavuma,2014,1887,1760,4563,2.42,2.4181240063593004,2.5926136363636365,0.2023327531607841,0
chavuma,2015,1751,1371,4431,2.53,2.5305539691604797,3.2319474835886215,0.40847436953531835,0
chavuma,2016,1953,1915,5482,2.81,2.806963645673323,2.86266318537859,0.9152746572725118,0
chavuma,2017,2320,1936,5082,2.19,2.19051724137931,2.625,-0.21498684084927244,0
chavuma,2018,1448,1236,2900,2.0,2.0027624309392267,2.3462783171521036,-0.5592374226506488,0
