,district,planted_ha,harvested_ha,production_mt,yield(mt/ha),year,yield
442,lundazi,62400,56716,141670,2.27,2019,2.4978841949361734
443,lusaka,222,187,345,1.56,2013,1.8449197860962567
444,lusaka,65,55,191,2.96,2020,3.4727272727272727
445,lusaka,1973,1967,9145,4.64,2022,4.649211997966447
446,lusaka,112,93,290,2.60,2014,3.118279569892473
447,lusaka,1790,1628,5413,3.02,2011,3.324938574938575
448,lusaka,236,228,1313,5.56,2016,5.758771929824562
449,lusaka,369,336,2923,7.92,2012,8.699404761904763
450,lusaka,59,24,72,1.22,2019,3.0
451,lusaka,106,79,216,2.04,2018,2.7341772151898733
452,lusaka,51,40,96,1.86,2021,2.4
453,lusaka,118,100,265,2.25,2015,2.65
454,lusaka,1141,1127,2360,2.07,2017,2.0940550133096716
455,luwingu,9290,9083,32984,3.55,2017,3.631399317406143
456,luwingu,7721,7458,27298,3.54,2012,3.6602306248323946
457,luwingu,14764,14186,41743,2.83,2020,2.9425489919639083
458,luwingu,6294,5584,19624,3.12,2013,3.51432664756447
459,luwingu,6994,6832,22287,3.19,2014,3.262148711943794
460,luwingu,8435,8313,34310,4.07,2021,4.1272705401178875
461,luwingu,8727,8537,25758,2.95,2019,3.017219163640623
462,luwingu,8133,7346,24891,3.06,2022,3.3883746256466103
463,luwingu,5884,5822,23424,3.98,2011,4.02335967021642
464,luwingu,7370,7201,27269,3.70,2015,3.7868351617830855
465,luwingu,3694,3543,12620,3.42,2018,3.5619531470505224
466,luwingu,8060,7928,26099,3.24,2016,3.2920030272452068
467,mafinga,18910,18644,67021,3.54,2021,3.5947757991847245
468,mafinga,7861,6431,30087,3.83,2015,4.678432592131862
469,mafinga,10236,9912,33908,3.31,2014,3.42090395480226
470,mafinga,16573,16379,71703,4.33,2022,4.3777397887538925
471,mafinga,8484,8057,32774,3.86,2012,4.067767158992181
472,mafinga,15964,14302,56993,3.57,2020,3.984967137463292
473,mafinga,9321,7686,32264,3.46,2016,4.19776216497528
474,mafinga,10555,10269,37741,3.58,2017,3.6752361476287856
475,mafinga,10359,8151,31662,3.06,2013,3.8844313581155685
476,mafinga,11900,11044,47695,4.01,2019,4.318634552698298
477,mafinga,11256,10521,45082,4.01,2018,4.284953901720368
478,mambwe,10933,9887,18900,1.73,2017,1.9116010923434814
479,mambwe,13155,8350,12779,0.97,2022,1.5304191616766467
480,mambwe,7537,5376,11460,1.52,2011,2.1316964285714284
481,mambwe,11605,7351,8979,0.77,2018,1.221466467147327
482,mambwe,6543,5647,10906,1.67,2012,1.9312909509474057
483,mambwe,8665,6419,17354,2.00,2014,2.703536376382614
484,mambwe,7655,5830,9508,1.24,2016,1.6308747855917667
485,mambwe,9299,6388,11068,1.19,2015,1.7326236693800876
486,mambwe,11011,9996,19930,1.81,2021,1.993797519007603
487,mambwe,11149,6343,13977,1.25,2020,2.2035314519943245
488,mambwe,7400,4752,9598,1.30,2013,2.019781144781145
489,mambwe,11272,8613,13371,1.19,2019,1.552420759317311
490,mansa,6131,5413,15945,2.60,2013,2.9456863107334197
491,mansa,10382,8781,24250,2.34,2015,2.761644459628744
492,mansa,8972,7681,23148,2.58,2017,3.0136700950397084
493,mansa,8934,8556,26282,2.94,2016,3.0717625058438522
494,mansa,7187,6940,20325,2.83,2018,2.9286743515850144
495,mansa,8952,8502,26778,2.99,2019,3.149611856033874
496,mansa,7611,7455,23655,3.11,2012,3.1730382293762576
497,mansa,12515,11369,33095,2.64,2020,2.910986014601108
498,mansa,7669,7329,26722,3.48,2014,3.6460635830263337
499,mansa,12011,10626,34631,2.88,2022,3.259081498211933
500,mansa,13024,12559,46826,3.60,2021,3.728481567003742
501,mansa,12189,11810,41552,3.41,2011,3.5183742591024556
502,masaiti,16166,13717,31388,1.94,2018,2.288255449442298
503,masaiti,16537,14895,41175,2.49,2014,2.7643504531722054
504,masaiti,18369,17165,47999,2.61,2021,2.796329740751529
505,masaiti,18100,14541,47323,2.61,2019,3.2544529262086512
506,masaiti,21506,20741,56700,2.64,2020,2.733715828552143
507,masaiti,16053,15193,35912,2.24,2016,2.3637201342723624
508,masaiti,24472,20326,55104,2.25,2011,2.711010528387287
509,masaiti,17397,11803,25663,1.48,2015,2.174277726001864
510,masaiti,17647,15804,49055,2.78,2022,3.103961022525943
511,masaiti,18484,16754,42985,2.33,2013,2.565655962755163
