,district,correlation,rmse,ubrmse,bias
0,gwembe,0.3397427345519871,2.0139381939688827,0.7633807817982222,1.8643480142827358
1,ikelenge,0.10677854133988145,1.2165969637886769,0.3601008125377116,1.1630995083353037
2,siavonga,0.6876309316463972,2.3099580236857924,0.3604124293033237,2.2822643853056994
3,mporokoso,0.21310147148445535,1.0526700156873203,0.3030680520814366,1.009378262626247
4,mungwi,0.4857620058559933,0.7107844163420916,0.19828671490118244,0.6840180449421308
5,masaiti,-0.2625711191322441,1.537130991048493,0.4132255552050458,1.4812656253964187
6,mufulira,0.06597749071468116,0.7775209884750582,0.6129144481862037,0.48265084098996924
7,chama,-0.46032753434825635,1.5568815060169237,0.5974576621066295,1.4383926580781718
8,kitwe,-0.19216188382446775,1.3322433264940696,0.4330991301278445,1.2609490102715535
9,mkushi,0.6938149952994586,0.5630869068980998,0.5053978733419989,0.25506041643097166
10,mpika,0.360640027176618,0.5203412830139075,0.2491931149434758,0.4613774253449166
11,samfya,0.043358098380087126,1.0957333016566086,0.434192727966018,1.0079143850641463
12,monze,0.25124735777084917,1.89898122640302,0.5303679374322277,1.823793231903635
13,zambezi,0.08541944339739975,1.9346674409690467,0.4377246569462482,1.8851724710558695
14,itezhitezhi,-0.47158732685340626,1.9950401752452296,0.6655267319654533,1.8815524580926801
15,mpulungu,0.5962697431856471,1.5703182390307013,0.6139952319870192,1.4458319402469277
16,chavuma,-0.11040194712953577,1.530795632909968,0.5566737161420022,1.4267798643899139
17,kapirimposhi,0.5471517077122129,1.2622816497498146,0.3631492735208351,1.2098160297055347
18,kalomo,0.6887545174177286,1.903906848065842,0.4153777837822639,1.8587124527302474
19,choma,0.706829031535669,1.8669945568190374,0.6581759789408395,1.747823077996544
20,petauke,0.40648530341577027,2.1942334467454025,0.24023910197166684,2.181665115952994
21,kalabo,0.30306046212911764,3.035845405595612,0.22179161479739032,3.0281144022592046
22,mambwe,0.5262322969693815,2.21872761811136,0.320129277533163,2.196104460516016
23,mumbwa,0.6590306748987343,1.8288503603028943,0.4141137624321951,1.7821904990263182
24,kaputa,-0.4001929838232302,1.8213268435490593,0.5988730121535019,1.72080411338034
25,luwingu,0.14981104677881085,0.667672027764656,0.35949548167484424,0.5646955864379667
26,mpongwe,-0.38219725585550784,0.8824765775777873,0.3153044342959979,0.8259860607240638
27,serenje,0.41503176604153275,0.9144050160220857,0.25968916920801877,0.8786080909004239
28,kasama,0.06116971786409606,0.6740178170974519,0.37494481847670935,0.5630170654427177
29,mansa,0.3470185679357616,0.9593362523884598,0.28635705914265036,0.9172771058177962
30,mongu,0.7691734603171908,2.9935894727932997,0.13055421848620888,2.9911221733716666
31,shangombo,0.10268276057869209,3.1210258849771417,0.34736691902993977,3.1021939959226468
32,nchelenge,-0.26023853639720146,1.5094214974249573,0.4659078257326911,1.4363645259832627
33,nyimba,0.09336633011570837,2.095959348734106,0.5373082707492165,2.026123557615474
34,kasempa,0.2232559642091879,0.8425051086653184,0.2661562743324597,0.8005287308501178
35,mazabuka,0.48341655300343656,1.4492305742291813,0.5958209879993049,1.322495414697832
36,lufwanyama,0.3345113424977727,1.6128797664789452,0.3606409338152528,1.5727301951437962
37,mbala,0.37448853940240795,1.6255071539066788,0.4937494831801523,1.549452166669707
38,chibombo,0.7937394621958106,1.557954133649224,0.24787722299446632,1.539069522743077
39,kawambwa,-0.17080837618044403,0.8240835067352142,0.35069455806169686,0.7475741309678638
40,senanga,0.15116113477212498,3.1623815485139297,0.25142037840737597,3.1528673958872733
41,chadiza,0.03559298345150411,1.6302416427963526,0.3822928523343086,1.5860624594014716
42,kalulushi,0.2010301734365609,0.9761922035312232,0.33754987622290045,0.9163612518029075
43,katete,0.25452636169591414,2.29509201810441,0.26652430136643496,2.280493605025587
44,chililabombwe,-0.24869037451649723,1.3972668706492088,0.5241460796474453,1.2967881353347954
45,livingstone,0.25573796588899084,2.739582763219467,0.7882006648364537,2.624168741129511
46,milengi,-0.4745379737663746,1.0904119729722928,0.35476293318294133,1.0317484405976298
47,lusaka,0.24349171327356925,1.8663191930586644,1.8177435905305186,0.42543448984584226
48,isoka,0.10224511149539724,0.7474053016373504,0.3122891452527689,0.6807413704551705
49,chongwe,0.2613392959991871,1.295567407109419,0.2968634442417212,1.2624303369801604
50,kaoma,0.7191421396783445,2.067822641625661,0.3173491438079288,2.043896708531945
51,luangwa,0.1185648215639459,3.0230766787105923,0.31440050852234325,3.00703801807855
52,chilubi,-0.2755753000885413,1.3554613826051227,0.3806379603894182,1.3014821432565233
53,mafinga,-0.25385024380053645,0.4152387598998457,0.41772723613286283,0.05583049486668075
54,chiengi,0.20286538844928764,1.537459665568516,0.34587704863618696,1.4995914399846804
55,mwinilunga,-0.2290642590902539,0.6406046156597097,0.41834275170653634,0.4885268665538691
56,namwala,0.7107544188098845,2.1655461463375687,0.4615296972500884,2.1164218459779107
57,ndola,0.5558483106931945,1.1979701532672216,0.3355164569507142,1.1516409127499483
58,mwense,-0.07222844079588138,1.4629874159519372,0.2546836495647838,1.441553863996431
59,sinazongwe,0.47693215789707827,2.4596945549210756,0.4280699421222984,2.422744338969468
60,solwezi,-0.5036794170862255,2.0131037075964713,0.4390117404357695,1.9649774312830537
61,luanshya,-0.211185326286277,1.2321655926525916,0.45560535857384016,1.1455864141390892
62,lukulu,0.545360606101067,2.617441922040334,0.4076515788686251,2.5861866206946353
63,kazungula,-0.13790117581892697,2.2876898847641467,0.3277982628638172,2.2644306669335386
64,mufumbwe,-0.12167694623539603,1.4006459540521352,0.3451841008317489,1.358344063047891
