,province,correlation,rmse,ubrmse,bias
0,central,0.8226878333192055,1.283063255675467,0.23090655605157673,1.2631639714605725
1,copperbelt,-0.02010130434845969,1.1828160345266365,0.18261942073417478,1.169704750580755
2,eastern,-0.00592216245865924,1.8893499040837027,0.223269574618841,1.8767497494413732
3,luapula,0.10662092381170438,1.1059919248995425,0.19785616293526845,1.08937720574251
4,lusaka,0.5339588175136604,1.300691398841099,0.3021708007537157,1.2661277388279302
5,muchinga,0.23376632724061658,0.6321463006238456,0.19353835820852563,0.6037293239066807
6,northern,0.4336251571401075,1.1859734632294154,0.25252556102782137,1.1597433618898896
7,northwestern,-0.42760647326390866,1.4056093992680385,0.3517327836740051,1.3617413151840527
8,southern,0.5825881889624402,1.9158402896913216,0.3542113637976269,1.883487128586368
9,western,0.5152052040388099,2.761959168877952,0.2176024665390325,2.7539159091461847
