,district,correlation,rmse,ubrmse,bias
0,nchelenge,-0.17453766295938572,1.4205623160059426,0.4418102159914501,1.3501114867675765
1,kaputa,-0.5006385835995341,1.727325383172275,0.6017129995853262,1.6191338565669229
2,milengi,0.3889100613272236,0.988597714053303,0.2444352648447334,0.9579023131466492
3,lufwanyama,0.20198192059129225,1.527333593381874,0.3782425730329947,1.4797568926746605
4,kazungula,0.407879434210835,2.198774673799103,0.2447526655504514,2.1851101113779827
5,chibombo,0.38919441228767815,1.4647557707861532,0.3157785071281522,1.4303123443805037
6,namwala,0.19684702970915738,2.0846951599276498,0.541080744905278,2.0132524772910423
7,kafue,0.36586762009871887,1.2240593528044128,0.505211269928264,1.1149362636157407
8,kalomo,0.2526382260862968,1.8234001764457222,0.48059558480901443,1.7589246963199905
9,mkushi,0.18308840428634326,0.5972830038773936,0.5810822678446802,0.13816795835969295
10,chongwe,-0.18774039915987323,1.206801371335818,0.3768839196795736,1.1464414773310374
11,solwezi,-0.30308513531187903,1.9407696633565656,0.4262031687921102,1.8933931829170405
12,ikelenge,-0.3715248105914077,1.162132035269433,0.424636205167358,1.0817746598504554
13,choma,0.49376052107422735,1.7852845831226518,0.6827117459048977,1.6495895594780257
14,kawambwa,-0.023886168953813704,0.7258420875655617,0.33697166789150024,0.6428816618320613
15,kitwe,-0.28480443210981976,1.2530403443038765,0.4808091565680406,1.1571225775230152
16,samfya,0.5723076920911582,0.9468905100408188,0.3369827228358136,0.8848978938360759
17,chililabombwe,-0.22798105925905793,1.284610043154592,0.5309222823746053,1.1697625797792401
18,chama,0.17071712742106784,1.4407950169543309,0.50908313346689,1.3478592820097959
19,chavuma,0.3594128076366003,1.4191024697278283,0.4898238249903267,1.3318875478280692
20,kabompo,-0.21125200803020924,1.1995371478316417,0.39206962764065034,1.1336537284858155
21,kabwe,0.4389312860274744,1.0132662698629054,0.6729728519754221,0.7575064845570317
22,mpika,0.35437579965227367,0.4140953890632473,0.24804033425602304,0.3315885761385674
23,kasempa,0.30559762859557865,0.7565406616261701,0.25003286920593787,0.7140289468995004
24,mafinga,0.017832039826103447,0.391285800157712,0.3893714813833915,-0.04648859604241018
25,nyimba,0.013651378348901202,2.0437670300133837,0.5496789288300415,1.9684605020599186
26,chilubi,0.07216286605665467,1.270114372266345,0.33580228022846953,1.224919322743703
27,mbala,0.5064746592204563,1.5273220367912652,0.47008427412999243,1.453180435900476
28,lundazi,0.18100306793502124,1.4369947905954166,0.37679115217987463,1.3867164294971512
29,mumbwa,0.04408800264190224,1.7479392375551706,0.50746334422098,1.672654337410157
30,sesheke,-0.4376923170961264,3.046013350671579,0.4492257551807753,3.0127053545529083
31,mufulira,0.09810104311300058,0.7063901061358723,0.6107369379590302,0.3549470026061308
32,mazabuka,0.3357230234170164,1.3458348605656962,0.6085544478943107,1.2003886686660858
33,mwense,-0.14614954133657104,1.3627486947734513,0.2512088913847281,1.3393946759622428
34,sinazongwe,0.2623909675049274,2.361521737627801,0.46032201856572175,2.3162229073455363
35,chiengi,-0.08146022985139398,1.4171014353888336,0.38569759203137544,1.3636032581664985
36,luwingu,0.46515016386331376,0.5601997599089048,0.30772769871078315,0.4681104938453741
37,monze,0.5489434744783355,1.8172153832944942,0.49167174972462285,1.7494372351716088
38,masaiti,-0.2758707409424881,1.4497205019255623,0.41541149753977596,1.388928659584453
39,serenje,0.3620486061896751,0.8108880193966704,0.27027919410419804,0.764518500257149
40,kaoma,0.3781652328396675,1.9833014195832308,0.37628440374020766,1.9472787598139965
41,kalulushi,0.16004295032818158,0.9287167602975593,0.34264856492717544,0.8631956799074825
42,nakonde,-0.117655489964156,1.1632335193058863,0.4149563368690904,1.0867030224164023
43,luanshya,-0.07301426944657673,1.147964720623109,0.4338540383185296,1.0628234440536193
44,senanga,0.15397120745809903,3.051356000918317,0.25104910523902146,3.0410109817458584
45,chinsali,0.720543498575228,0.5899678510510837,0.28094685022769417,0.5187783077779673
46,mporokoso,0.2606246280911777,0.9533118743698443,0.29110010738607633,0.9077798506765618
47,ndola,-0.09559393163740171,1.1092913208156423,0.4125340496562544,1.029729523861059
48,chingola,0.31402795109212167,0.9931933290790269,0.7099618375342871,0.6945409837957864
49,mongu,-0.050008776266336076,2.9059423653896315,0.24425990315824014,2.895658496901078
50,mufumbwe,-0.32343029255591077,1.3102487488001042,0.361056995075296,1.2595196028801763
51,siavonga,0.530907778022754,2.2122766973129666,0.3883540428059195,2.1779231673569814
52,kalabo,0.055597671433369245,2.9428121919489785,0.2524015435134497,2.9319681202079226
53,chipata,0.34459924025593835,1.6454898854353373,0.21909491358255806,1.6308385517617154
54,kasama,0.3066208516387816,0.5631259832685315,0.34037216589973046,0.4486175004531998
55,shangombo,0.12708581578035813,3.0041646440673495,0.3440278047870682,2.9844011255522767
56,katete,0.3832464501956963,2.1639125643637747,0.24251748098330958,2.150279716136698
57,mpulungu,0.5590793831036881,1.507552129150225,0.6338243031569317,1.3678377735802616
58,mambwe,0.5233511248511519,2.1179343478264525,0.31737423216622423,2.0940199374552195
59,lusaka,-0.19653868213286305,1.9079230575410093,1.8782602058080646,0.33512533890244595
60,petauke,0.3322152588099074,2.0916737785787793,0.24382616539583335,2.077413776083713
61,gwembe,0.5529196383156566,1.9046148047935294,0.7220725996067863,1.7624326130481676
62,itezhitezhi,-0.4198704541179712,1.8905261473520187,0.6578696095731047,1.7723703593272477
63,luangwa,-0.08224675305505824,2.9339023458262834,0.3353366950335535,2.9146753293993046
