cname,planting,harvest,gwad
Chadiza,2012-10-14,2013-01-24,5038
Chadiza,2012-10-14,2013-01-24,5102
Chadiza,2012-10-14,2013-01-24,5101
Chadiza,2012-10-15,2013-01-28,5464
Chadiza,2012-10-15,2013-01-28,5292
Chadiza,2012-10-15,2013-01-28,5375
Chadiza,2012-10-15,2013-01-28,5383
Chadiza,2012-10-15,2013-01-28,5208
Chadiza,2012-10-16,2013-01-29,5398
Chadiza,2012-10-16,2013-01-29,5449
Chadiza,2012-10-16,2013-01-29,5423
Chadiza,2012-10-16,2013-01-29,5493
Chadiza,2012-10-17,2013-01-31,5764
Chadiza,2012-10-18,2013-02-01,5656
Chadiza,2012-10-18,2013-02-01,5518
Chadiza,2012-10-18,2013-02-01,5536
Chadiza,2012-10-18,2013-02-01,5536
Chadiza,2012-10-18,2013-02-01,5581
Chadiza,2012-10-19,2013-02-02,5879
Chadiza,2012-10-20,2013-02-04,5701
Chadiza,2012-10-20,2013-02-04,5600
Chadiza,2012-10-20,2013-02-04,5636
Chadiza,2012-10-20,2013-02-04,5854
Chadiza,2012-10-20,2013-02-04,5926
Chadiza,2012-10-20,2013-02-04,5718
Chadiza,2012-10-21,2013-02-05,5662
Chadiza,2012-10-21,2013-02-05,5649
Chadiza,2012-10-22,2013-02-07,5581
Chadiza,2012-10-22,2013-02-07,5662
Chadiza,2012-10-23,2013-02-09,5788
Chadiza,2012-10-23,2013-02-09,5523
Chadiza,2012-10-23,2013-02-09,5832
Chadiza,2012-10-23,2013-02-09,5614
Chadiza,2012-10-24,2013-02-11,5950
Chadiza,2012-10-24,2013-02-11,5515
Chadiza,2012-10-24,2013-02-11,5496
Chadiza,2012-10-24,2013-02-11,5989
Chadiza,2012-10-25,2013-02-12,5468
Chadiza,2012-10-25,2013-02-12,5511
Chadiza,2012-10-26,2013-02-14,5416
Chadiza,2012-11-01,2013-02-25,5660
Chadiza,2012-11-04,2013-02-26,5836
Chadiza,2012-11-08,2013-03-04,5701
Chadiza,2012-11-09,2013-03-04,5863
Chadiza,2012-11-10,2013-03-06,5759
Chadiza,2012-11-10,2013-03-06,5796
Chadiza,2012-11-10,2013-03-06,6677
Chadiza,2012-11-11,2013-03-09,5792
Chadiza,2012-11-12,2013-03-10,5842
Chadiza,2012-11-12,2013-03-10,5841
Chadiza,2013-01-01,2013-05-06,6835
Chadiza,2013-01-02,2013-05-07,6457
Chadiza,2013-01-05,2013-05-10,6427
Chadiza,2013-01-05,2013-05-10,6299
Chadiza,2013-01-05,2013-05-10,6092
