cname,planting,harvest,gwad
Chadiza,2017-10-15,2018-02-03,6106
Chadiza,2017-10-16,2018-02-05,6327
Chadiza,2017-10-17,2018-02-06,6057
Chadiza,2017-10-17,2018-02-06,6154
Chadiza,2017-10-17,2018-02-06,6294
Chadiza,2017-10-17,2018-02-06,6137
Chadiza,2017-10-19,2018-02-09,6131
Chadiza,2017-10-20,2018-02-10,6161
Chadiza,2017-10-20,2018-02-10,6214
Chadiza,2017-10-21,2018-02-12,6049
Chadiza,2017-10-22,2018-02-13,6232
Chadiza,2017-10-22,2018-02-13,5987
Chadiza,2017-10-23,2018-02-14,5940
Chadiza,2017-10-23,2018-02-14,6182
Chadiza,2017-10-23,2018-02-14,6026
Chadiza,2017-10-24,2018-02-18,6358
Chadiza,2017-10-24,2018-02-18,6090
Chadiza,2017-10-25,2018-02-20,6174
Chadiza,2017-10-25,2018-02-20,5982
Chadiza,2017-10-25,2018-02-20,6145
Chadiza,2017-10-26,2018-02-21,6216
Chadiza,2017-10-27,2018-02-22,6166
Chadiza,2017-10-28,2018-02-21,6288
Chadiza,2017-10-28,2018-02-21,5936
Chadiza,2017-10-29,2018-02-22,6003
Chadiza,2017-10-30,2018-02-24,5917
Chadiza,2017-11-01,2018-02-27,5832
Chadiza,2017-11-01,2018-02-27,5690
Chadiza,2017-11-02,2018-02-28,5681
Chadiza,2017-11-02,2018-02-28,5622
Chadiza,2017-11-03,2018-03-02,5685
Chadiza,2017-11-03,2018-03-02,5711
Chadiza,2017-11-05,2018-03-08,5732
Chadiza,2017-11-06,2018-03-12,5571
Chadiza,2017-11-07,2018-03-13,5910
Chadiza,2017-11-09,2018-03-14,5618
Chadiza,2017-11-09,2018-03-14,5611
Chadiza,2017-11-10,2018-03-15,5520
Chadiza,2017-11-10,2018-03-15,5707
Chadiza,2017-11-10,2018-03-15,5522
Chadiza,2017-11-11,2018-03-16,6173
Chadiza,2017-11-11,2018-03-16,5582
Chadiza,2017-11-12,2018-03-17,5495
Chadiza,2017-11-12,2018-03-17,5927
Chadiza,2017-11-12,2018-03-17,6006
Chadiza,2017-11-12,2018-03-17,5677
Chadiza,2017-11-13,2018-03-19,5763
Chadiza,2017-11-13,2018-03-19,5462
Chadiza,2017-11-13,2018-03-19,5637
Chadiza,2017-11-13,2018-03-19,6517
Chadiza,2018-01-01,2018-05-12,6057
Chadiza,2018-01-01,2018-05-12,6070
