cname,planting,harvest,gwad
Chadiza,2017-10-15,2017-12-14,2446
Chadiza,2017-10-15,2017-12-14,2262
Chadiza,2017-10-16,2017-12-14,1490
Chadiza,2017-10-17,2017-12-13,1606
Chadiza,2017-10-17,2017-12-13,2222
Chadiza,2017-10-18,2017-12-14,1987
Chadiza,2017-10-19,2017-12-15,2192
Chadiza,2017-10-20,2017-12-19,3453
Chadiza,2017-10-20,2017-12-19,3069
Chadiza,2017-10-20,2017-12-19,2860
Chadiza,2017-10-20,2017-12-19,3159
Chadiza,2017-10-20,2017-12-19,3093
Chadiza,2017-10-20,2017-12-19,2926
Chadiza,2017-10-21,2017-12-20,3030
Chadiza,2017-10-21,2017-12-20,3248
Chadiza,2017-10-22,2017-12-21,2025
Chadiza,2017-10-22,2017-12-21,3513
Chadiza,2017-10-23,2017-12-23,3665
Chadiza,2017-10-23,2017-12-23,3689
Chadiza,2017-10-23,2017-12-23,3705
Chadiza,2017-10-24,2017-12-24,3569
Chadiza,2017-10-26,2017-12-26,3829
Chadiza,2017-10-27,2017-12-27,3833
Chadiza,2017-10-27,2017-12-27,3931
Chadiza,2017-10-28,2017-12-29,3605
Chadiza,2017-10-28,2017-12-29,4003
Chadiza,2017-10-30,2018-01-01,4206
Chadiza,2017-11-01,2018-01-04,3845
Chadiza,2017-11-01,2018-01-04,3869
Chadiza,2017-11-02,2018-01-05,3925
Chadiza,2017-11-02,2018-01-05,3956
Chadiza,2017-11-03,2018-01-06,3959
Chadiza,2017-11-03,2018-01-06,3890
Chadiza,2017-11-03,2018-01-06,3929
Chadiza,2017-11-03,2018-01-06,3918
Chadiza,2017-11-04,2018-01-07,4206
Chadiza,2017-11-07,2018-01-11,4256
Chadiza,2017-11-07,2018-01-11,4210
Chadiza,2017-11-07,2018-01-11,4261
Chadiza,2017-11-07,2018-01-11,4202
Chadiza,2017-11-08,2018-01-13,4166
Chadiza,2017-11-09,2018-01-14,4348
Chadiza,2017-11-10,2018-01-15,4318
Chadiza,2017-11-11,2018-01-16,4459
Chadiza,2017-11-11,2018-01-16,4474
Chadiza,2017-11-11,2018-01-16,4461
Chadiza,2017-11-12,2018-01-18,4491
Chadiza,2017-11-13,2018-01-19,4336
Chadiza,2017-11-13,2018-01-19,4333
Chadiza,2017-11-13,2018-01-19,4354
Chadiza,2018-01-01,2018-03-16,3899
Chadiza,2018-01-01,2018-03-16,4061
Chadiza,2018-01-02,2018-03-17,4042
Chadiza,2018-01-02,2018-03-17,4026
Chadiza,2018-01-02,2018-03-17,3988
Chadiza,2018-01-02,2018-03-17,3915
Chadiza,2018-01-03,2018-03-18,4053
Chadiza,2018-01-03,2018-03-18,3957
Chadiza,2018-01-03,2018-03-18,4007
Chadiza,2018-01-04,2018-03-19,4181
Chadiza,2018-01-04,2018-03-19,4035
Chadiza,2018-01-04,2018-03-19,4005
Chadiza,2018-01-05,2018-03-20,4023
Chadiza,2018-01-06,2018-03-21,3920
Chadiza,2018-01-06,2018-03-21,3970
Chadiza,2018-01-07,2018-03-22,4090
Chadiza,2018-01-07,2018-03-22,3993
Chadiza,2018-01-07,2018-03-22,4022
Chadiza,2018-01-08,2018-03-23,4024
Chadiza,2018-01-09,2018-03-24,4209
Chadiza,2018-01-10,2018-03-25,4128
Chadiza,2018-01-11,2018-03-26,4137
Chadiza,2018-01-12,2018-03-27,3980
Chadiza,2018-01-12,2018-03-27,4168
Chadiza,2018-01-12,2018-03-27,4087
Chadiza,2018-01-13,2018-03-28,4114
Chadiza,2018-01-15,2018-04-01,4317
Chadiza,2018-01-16,2018-04-02,4252
Chadiza,2018-01-17,2018-04-01,4137
Chadiza,2018-01-17,2018-04-01,4210
Chadiza,2018-01-17,2018-04-01,4127
Chadiza,2018-01-17,2018-04-01,4169
Chadiza,2018-01-18,2018-04-03,4084
Chadiza,2018-01-18,2018-04-03,4083
Chadiza,2018-01-18,2018-04-03,4114
Chadiza,2018-01-19,2018-04-04,4043
Chadiza,2018-01-21,2018-04-06,4036
Chadiza,2018-01-22,2018-04-06,4273
Chadiza,2018-01-22,2018-04-06,4294
Chadiza,2018-01-24,2018-04-08,4202
Chadiza,2018-01-24,2018-04-08,4077
Chadiza,2018-01-24,2018-04-08,4192
Chadiza,2018-01-24,2018-04-08,4137
Chadiza,2018-01-25,2018-04-09,3984
Chadiza,2018-01-25,2018-04-09,4115
Chadiza,2018-01-25,2018-04-09,4107
Chadiza,2018-01-28,2018-04-12,4145
Chadiza,2018-01-29,2018-04-13,4032
Chadiza,2018-01-29,2018-04-13,4059
Chadiza,2018-01-30,2018-04-14,3914
Chama,2017-10-15,2017-12-14,3001
Chama,2017-10-16,2017-12-14,1172
Chama,2017-10-17,2017-12-13,1973
Chama,2017-10-17,2017-12-13,2305
Chama,2017-10-17,2017-12-13,3339
Chama,2017-10-18,2017-12-14,1899
Chama,2017-10-18,2017-12-14,2598
Chama,2017-10-18,2017-12-14,1365
Chama,2017-10-19,2017-12-15,2014
Chama,2017-10-19,2017-12-15,2015
Chama,2017-10-19,2017-12-15,2659
Chama,2017-10-20,2017-12-19,3570
Chama,2017-10-20,2017-12-19,2882
Chama,2017-10-21,2017-12-20,3426
Chama,2017-10-22,2017-12-21,2594
Chama,2017-10-23,2017-12-23,3940
Chama,2017-10-23,2017-12-23,3618
Chama,2017-10-23,2017-12-23,3764
Chama,2017-10-24,2017-12-24,3652
Chama,2017-10-24,2017-12-24,3798
Chama,2017-10-25,2017-12-25,3769
Chama,2017-10-26,2017-12-26,3816
Chama,2017-10-26,2017-12-26,4055
Chama,2017-10-27,2017-12-27,4012
Chama,2017-10-28,2017-12-29,4050
Chama,2017-10-28,2017-12-29,3859
Chama,2017-10-30,2018-01-01,3728
Chama,2017-10-31,2018-01-02,4022
Chama,2017-10-31,2018-01-02,3829
Chama,2017-10-31,2018-01-02,4000
Chama,2017-11-02,2018-01-05,4149
Chama,2017-11-03,2018-01-06,4203
Chama,2017-11-04,2018-01-07,4247
Chama,2017-11-04,2018-01-07,4262
Chama,2017-11-04,2018-01-07,4077
Chama,2017-11-04,2018-01-07,4090
Chama,2017-11-04,2018-01-07,4248
Chama,2017-11-05,2018-01-09,4159
Chama,2017-11-05,2018-01-09,4129
Chama,2017-11-06,2018-01-10,4167
