cname,planting,harvest,gwad
Chadiza,2015-10-15,2016-02-04,3160
Chadiza,2015-10-15,2016-02-04,3231
Chadiza,2015-10-15,2016-02-04,3478
Chadiza,2015-10-16,2016-02-06,3125
Chadiza,2015-10-16,2016-02-06,3568
Chadiza,2015-10-17,2016-02-06,3246
Chadiza,2015-10-18,2016-02-07,3531
Chadiza,2015-10-19,2016-02-08,3388
Chadiza,2015-10-19,2016-02-08,3365
Chadiza,2015-10-20,2016-02-09,3720
Chadiza,2015-10-22,2016-02-12,3967
Chadiza,2015-10-22,2016-02-12,3965
Chadiza,2015-10-23,2016-02-13,3771
Chadiza,2015-10-25,2016-02-19,4076
Chadiza,2015-10-26,2016-02-21,4275
Chadiza,2015-10-26,2016-02-21,4158
Chadiza,2015-10-28,2016-02-23,4173
Chadiza,2015-10-28,2016-02-23,4173
Chadiza,2015-10-29,2016-02-24,4092
Chadiza,2015-10-29,2016-02-24,4092
Chadiza,2015-10-31,2016-02-26,3771
Chadiza,2015-10-31,2016-02-26,3771
Chadiza,2015-11-01,2016-02-28,3849
Chadiza,2015-11-03,2016-03-02,3676
Chadiza,2015-11-03,2016-03-02,3676
Chadiza,2015-11-03,2016-03-02,3676
Chadiza,2015-11-03,2016-03-02,3676
Chadiza,2015-11-03,2016-03-02,3676
Chadiza,2015-11-04,2016-03-03,3652
Chadiza,2015-11-05,2016-03-02,3455
Chadiza,2015-11-05,2016-03-02,3455
Chadiza,2015-11-05,2016-03-02,3455
Chadiza,2015-11-06,2016-03-03,3775
Chadiza,2015-11-07,2016-03-03,3737
Chadiza,2015-11-07,2016-03-03,3737
Chadiza,2015-11-08,2016-03-04,3713
Chadiza,2015-11-08,2016-03-04,3713
Chadiza,2015-11-08,2016-03-04,3713
Chadiza,2015-11-09,2016-03-05,3670
Chadiza,2015-11-09,2016-03-05,3670
Chadiza,2015-11-10,2016-03-08,3701
Chadiza,2015-11-10,2016-03-08,3701
Chadiza,2015-11-10,2016-03-08,3701
Chadiza,2015-11-10,2016-03-08,3701
Chadiza,2015-11-11,2016-03-09,3524
