cname,planting,harvest,gwad
Chadiza,2013-10-15,2013-12-13,1498
Chadiza,2013-10-16,2013-12-15,2397
Chadiza,2013-10-16,2013-12-15,1939
Chadiza,2013-10-17,2013-12-16,2593
Chadiza,2013-10-18,2013-12-17,1739
Chadiza,2013-10-18,2013-12-17,2677
Chadiza,2013-10-19,2013-12-19,3034
Chadiza,2013-10-19,2013-12-19,2794
Chadiza,2013-10-19,2013-12-19,2945
Chadiza,2013-10-20,2013-12-20,2990
Chadiza,2013-10-20,2013-12-20,3203
Chadiza,2013-10-21,2013-12-21,3299
Chadiza,2013-10-21,2013-12-21,3196
Chadiza,2013-10-21,2013-12-21,3360
Chadiza,2013-10-22,2013-12-22,3313
Chadiza,2013-10-23,2013-12-23,3431
Chadiza,2013-10-24,2013-12-24,3463
Chadiza,2013-10-24,2013-12-24,3589
Chadiza,2013-10-24,2013-12-24,3265
Chadiza,2013-10-25,2013-12-26,3622
Chadiza,2013-10-25,2013-12-26,3625
Chadiza,2013-10-25,2013-12-26,3671
Chadiza,2013-10-26,2013-12-27,3655
Chadiza,2013-10-27,2013-12-28,3624
Chadiza,2013-10-27,2013-12-28,3506
Chadiza,2013-10-28,2013-12-30,3439
Chadiza,2013-10-28,2013-12-30,3665
Chadiza,2013-10-29,2013-12-31,3600
Chadiza,2013-10-30,2014-01-01,3603
Chadiza,2013-10-30,2014-01-01,3549
Chadiza,2013-10-31,2014-01-02,3659
Chadiza,2013-10-31,2014-01-02,3621
Chadiza,2013-11-04,2014-01-09,3541
Chadiza,2013-11-05,2014-01-10,3604
Chadiza,2013-11-06,2014-01-11,3604
Chadiza,2013-11-06,2014-01-11,3639
Chadiza,2013-11-06,2014-01-11,3614
Chadiza,2013-11-07,2014-01-13,3662
Chadiza,2013-11-07,2014-01-13,3685
Chadiza,2013-11-08,2014-01-13,3613
Chadiza,2013-11-08,2014-01-13,3554
Chadiza,2013-11-08,2014-01-13,3577
Chadiza,2013-11-08,2014-01-13,3597
Chadiza,2013-11-10,2014-01-14,3474
Chadiza,2013-11-11,2014-01-14,3437
Chadiza,2013-11-11,2014-01-14,3491
Chadiza,2013-11-11,2014-01-14,3491
Chadiza,2013-11-12,2014-01-15,3470
Chadiza,2013-11-12,2014-01-15,3507
Chadiza,2013-11-13,2014-01-16,3531
Chadiza,2014-01-01,2014-03-16,3959
Chadiza,2014-01-01,2014-03-16,4064
Chadiza,2014-01-01,2014-03-16,3940
Chadiza,2014-01-02,2014-03-17,4120
Chadiza,2014-01-03,2014-03-18,4040
Chadiza,2014-01-04,2014-03-19,4048
Chadiza,2014-01-04,2014-03-19,4026
Chadiza,2014-01-04,2014-03-19,4046
Chadiza,2014-01-04,2014-03-19,4050
Chadiza,2014-01-06,2014-03-23,4051
Chadiza,2014-01-06,2014-03-23,4005
Chadiza,2014-01-06,2014-03-23,4017
Chadiza,2014-01-06,2014-03-23,4035
Chadiza,2014-01-07,2014-03-24,4057
Chadiza,2014-01-07,2014-03-24,3966
Chadiza,2014-01-07,2014-03-24,4155
Chadiza,2014-01-08,2014-03-25,4092
Chadiza,2014-01-08,2014-03-25,4320
Chadiza,2014-01-09,2014-03-26,4347
Chadiza,2014-01-11,2014-03-28,4055
Chadiza,2014-01-11,2014-03-28,4240
Chadiza,2014-01-12,2014-03-30,4259
Chadiza,2014-01-12,2014-03-30,4129
Chadiza,2014-01-12,2014-03-30,4091
Chadiza,2014-01-14,2014-04-01,4322
Chadiza,2014-01-15,2014-04-02,4175
Chadiza,2014-01-15,2014-04-02,4321
Chadiza,2014-01-16,2014-04-03,4188
Chadiza,2014-01-16,2014-04-03,4304
Chadiza,2014-01-16,2014-04-03,4176
Chadiza,2014-01-17,2014-04-04,4156
Chadiza,2014-01-17,2014-04-04,4411
Chadiza,2014-01-18,2014-04-05,4596
Chadiza,2014-01-20,2014-04-07,4480
Chadiza,2014-01-21,2014-04-09,4388
Chadiza,2014-01-21,2014-04-09,4395
Chadiza,2014-01-22,2014-04-10,4482
Chadiza,2014-01-23,2014-04-11,4375
Chadiza,2014-01-23,2014-04-11,4465
Chadiza,2014-01-23,2014-04-11,4358
Chadiza,2014-01-23,2014-04-11,4340
Chadiza,2014-01-24,2014-04-12,4482
Chadiza,2014-01-25,2014-04-13,4154
Chadiza,2014-01-25,2014-04-13,4230
Chadiza,2014-01-25,2014-04-13,4147
Chadiza,2014-01-26,2014-04-14,4131
Chadiza,2014-01-27,2014-04-15,4159
Chadiza,2014-01-28,2014-04-16,4321
