cname,planting,harvest,gwad
Chadiza,2016-10-15,2017-02-06,3852
Chadiza,2016-10-15,2017-02-06,3559
Chadiza,2016-10-15,2017-02-06,3771
Chadiza,2016-10-15,2017-02-06,3808
Chadiza,2016-10-16,2017-02-08,3964
Chadiza,2016-10-16,2017-02-08,3615
Chadiza,2016-10-17,2017-02-10,4794
Chadiza,2016-10-18,2017-02-11,5201
Chadiza,2016-10-19,2017-02-13,5284
Chadiza,2016-10-19,2017-02-13,5292
Chadiza,2016-10-20,2017-02-14,5653
Chadiza,2016-10-20,2017-02-14,5420
Chadiza,2016-10-20,2017-02-14,5589
Chadiza,2016-10-21,2017-02-16,5843
Chadiza,2016-10-23,2017-02-18,5848
Chadiza,2016-10-24,2017-02-20,5837
Chadiza,2016-10-24,2017-02-20,6297
Chadiza,2016-10-25,2017-02-21,6250
Chadiza,2016-10-26,2017-02-23,6038
Chadiza,2016-10-27,2017-02-24,5827
Chadiza,2016-10-27,2017-02-24,6460
Chadiza,2016-10-28,2017-02-26,5989
Chadiza,2016-10-28,2017-02-26,5971
Chadiza,2016-10-28,2017-02-26,6097
Chadiza,2016-10-29,2017-02-27,6183
Chadiza,2016-10-30,2017-03-01,6173
Chadiza,2016-10-30,2017-03-01,6100
Chadiza,2016-11-01,2017-03-03,6075
Chadiza,2016-11-02,2017-03-04,5886
Chadiza,2016-11-02,2017-03-04,6018
Chadiza,2016-11-03,2017-03-05,6008
Chadiza,2016-11-03,2017-03-05,5939
Chadiza,2016-11-05,2017-03-08,5934
Chadiza,2016-11-06,2017-03-12,5765
Chadiza,2016-11-06,2017-03-12,5907
Chadiza,2016-11-06,2017-03-12,5729
Chadiza,2016-11-06,2017-03-12,5722
Chadiza,2016-11-07,2017-03-12,6121
Chadiza,2016-11-07,2017-03-12,5931
Chadiza,2016-11-07,2017-03-12,5962
Chadiza,2016-11-07,2017-03-12,5833
Chadiza,2016-11-08,2017-03-13,5719
Chadiza,2016-11-08,2017-03-13,5830
Chadiza,2016-11-09,2017-03-13,5923
Chadiza,2016-11-09,2017-03-13,6025
Chadiza,2016-11-10,2017-03-14,6027
Chadiza,2016-11-11,2017-03-15,6562
Chadiza,2016-11-11,2017-03-15,6074
Chadiza,2016-11-11,2017-03-15,6420
Chadiza,2016-11-12,2017-03-19,6620
Chadiza,2017-01-01,2017-05-19,6937
Chadiza,2017-01-01,2017-05-19,6859
Chadiza,2017-01-02,2017-05-20,7058
Chadiza,2017-01-02,2017-05-20,7421
Chadiza,2017-01-03,2017-05-21,6720
Chadiza,2017-01-04,2017-05-22,6823
Chadiza,2017-01-04,2017-05-22,6824
Chadiza,2017-01-04,2017-05-22,6712
