cname,planting,harvest,gwad
Chadiza,2014-10-15,2015-01-19,4671
Chadiza,2014-10-15,2015-01-19,4836
Chadiza,2014-10-16,2015-01-21,4577
Chadiza,2014-10-17,2015-01-23,4676
Chadiza,2014-10-17,2015-01-23,4617
Chadiza,2014-10-17,2015-01-23,4695
Chadiza,2014-10-19,2015-01-26,4806
Chadiza,2014-10-20,2015-01-28,4833
Chadiza,2014-10-21,2015-01-30,4986
Chadiza,2014-10-22,2015-01-31,4732
Chadiza,2014-10-22,2015-01-31,4892
Chadiza,2014-10-24,2015-01-31,5087
Chadiza,2014-10-24,2015-01-31,4803
Chadiza,2014-10-25,2015-02-02,4769
Chadiza,2014-10-25,2015-02-02,4834
Chadiza,2014-10-25,2015-02-02,4750
Chadiza,2014-10-26,2015-02-03,5177
Chadiza,2014-10-26,2015-02-03,4866
Chadiza,2014-10-27,2015-02-04,4973
Chadiza,2014-10-27,2015-02-04,4961
Chadiza,2014-10-27,2015-02-04,5400
Chadiza,2014-10-29,2015-02-05,4860
Chadiza,2014-10-30,2015-02-06,4863
Chadiza,2014-10-30,2015-02-06,4804
Chadiza,2014-10-30,2015-02-06,4859
Chadiza,2014-10-30,2015-02-06,5009
Chadiza,2014-10-30,2015-02-06,5023
Chadiza,2014-10-30,2015-02-06,5019
Chadiza,2014-10-31,2015-02-07,5035
Chadiza,2014-10-31,2015-02-07,4829
Chadiza,2014-11-01,2015-02-11,5120
Chadiza,2014-11-01,2015-02-11,5030
Chadiza,2014-11-01,2015-02-11,5055
Chadiza,2014-11-02,2015-02-12,5163
Chadiza,2014-11-02,2015-02-12,4992
Chadiza,2014-11-03,2015-02-17,5130
Chadiza,2014-11-04,2015-02-18,5254
Chadiza,2014-11-04,2015-02-18,5249
Chadiza,2014-11-06,2015-02-21,5416
Chadiza,2014-11-06,2015-02-21,5005
Chadiza,2014-11-07,2015-02-22,5051
Chadiza,2014-11-09,2015-02-24,5240
Chadiza,2014-11-09,2015-02-24,5088
Chadiza,2014-11-09,2015-02-24,5249
Chadiza,2014-11-10,2015-02-24,5115
Chadiza,2014-11-10,2015-02-24,5136
Chadiza,2014-11-10,2015-02-24,5122
Chadiza,2014-11-11,2015-02-25,5214
Chadiza,2014-11-12,2015-02-26,5112
Chadiza,2014-11-12,2015-02-26,5092
Chadiza,2015-01-01,2015-05-04,4631
Chadiza,2015-01-02,2015-05-05,4937
Chadiza,2015-01-04,2015-05-07,4774
Chadiza,2015-01-04,2015-05-07,4742
Chadiza,2015-01-04,2015-05-07,4790
Chadiza,2015-01-04,2015-05-07,4737
Chadiza,2015-01-05,2015-05-08,4624
Chadiza,2015-01-05,2015-05-08,4579
Chadiza,2015-01-06,2015-05-09,4908
Chadiza,2015-01-06,2015-05-09,4685
Chadiza,2015-01-09,2015-05-12,4692
Chadiza,2015-01-10,2015-05-13,4681
Chadiza,2015-01-10,2015-05-13,4645
Chadiza,2015-01-10,2015-05-13,4630
Chadiza,2015-01-10,2015-05-13,4780
Chadiza,2015-01-10,2015-05-13,4708
Chadiza,2015-01-11,2015-05-15,5000
Chadiza,2015-01-11,2015-05-15,5133
Chadiza,2015-01-12,2015-05-16,4759
Chadiza,2015-01-12,2015-05-16,4773
Chadiza,2015-01-12,2015-05-16,4834
Chadiza,2015-01-12,2015-05-16,4823
Chadiza,2015-01-13,2015-05-17,4872
Chadiza,2015-01-13,2015-05-17,4929
Chadiza,2015-01-13,2015-05-17,4760
Chadiza,2015-01-14,2015-05-18,4709
Chadiza,2015-01-14,2015-05-18,5001
Chadiza,2015-01-14,2015-05-18,4681
Chadiza,2015-01-14,2015-05-18,4709
Chadiza,2015-01-16,2015-05-21,4975
Chadiza,2015-01-17,2015-05-22,4730
Chadiza,2015-01-17,2015-05-22,4992
Chadiza,2015-01-18,2015-05-21,4546
Chadiza,2015-01-18,2015-05-21,4920
Chadiza,2015-01-18,2015-05-21,4511
Chadiza,2015-01-18,2015-05-21,4939
Chadiza,2015-01-19,2015-05-22,4628
Chadiza,2015-01-19,2015-05-22,4597
Chadiza,2015-01-22,2015-05-25,4748
Chadiza,2015-01-22,2015-05-25,4802
Chadiza,2015-01-22,2015-05-25,4765
Chadiza,2015-01-23,2015-05-26,4738
Chadiza,2015-01-23,2015-05-26,4759
Chadiza,2015-01-23,2015-05-26,4806
Chadiza,2015-01-24,2015-05-27,4954
Chadiza,2015-01-25,2015-05-28,4754
Chadiza,2015-01-25,2015-05-28,4676
Chadiza,2015-01-27,2015-05-30,4751
Chadiza,2015-01-28,2015-05-30,4975
Chadiza,2015-01-28,2015-05-30,4917
Chama,2014-10-16,2015-01-21,4819
Chama,2014-10-17,2015-01-23,4919
Chama,2014-10-17,2015-01-23,4910
Chama,2014-10-18,2015-01-25,5155
Chama,2014-10-19,2015-01-26,4944
Chama,2014-10-21,2015-01-30,5122
Chama,2014-10-21,2015-01-30,5016
Chama,2014-10-21,2015-01-30,5106
Chama,2014-10-21,2015-01-30,5378
Chama,2014-10-24,2015-01-31,5535
Chama,2014-10-25,2015-02-02,5086
Chama,2014-10-25,2015-02-02,5203
Chama,2014-10-26,2015-02-03,4973
Chama,2014-10-26,2015-02-03,4893
Chama,2014-10-26,2015-02-03,4954
Chama,2014-10-26,2015-02-03,4972
Chama,2014-10-26,2015-02-03,5074
Chama,2014-10-27,2015-02-04,5422
Chama,2014-10-27,2015-02-04,5198
Chama,2014-10-27,2015-02-04,5317
Chama,2014-10-28,2015-02-05,5108
Chama,2014-10-28,2015-02-05,5065
Chama,2014-10-28,2015-02-05,5423
Chama,2014-10-29,2015-02-05,5071
Chama,2014-10-29,2015-02-05,5276
Chama,2014-10-30,2015-02-06,5232
Chama,2014-10-30,2015-02-06,5232
Chama,2014-10-30,2015-02-06,5179
Chama,2014-10-30,2015-02-06,5064
Chama,2014-11-01,2015-02-11,5678
Chama,2014-11-03,2015-02-17,5512
Chama,2014-11-03,2015-02-17,5767
Chama,2014-11-04,2015-02-18,5221
Chama,2014-11-05,2015-02-20,5473
Chama,2014-11-05,2015-02-20,5469
Chama,2014-11-06,2015-02-21,5449
Chama,2014-11-06,2015-02-21,5028
Chama,2014-11-06,2015-02-21,5382
Chama,2014-11-07,2015-02-22,5605
Chama,2014-11-09,2015-02-24,5566
Chama,2014-11-09,2015-02-24,5507
Chama,2014-11-09,2015-02-24,5541
Chama,2014-11-09,2015-02-24,5368
Chama,2014-11-09,2015-02-24,5382
Chama,2014-11-09,2015-02-24,5993
Chama,2014-11-09,2015-02-24,5558
Chama,2014-11-10,2015-02-24,5373
Chama,2014-11-12,2015-02-26,5534
Chama,2014-11-12,2015-02-26,5801
Chama,2014-11-13,2015-03-02,5497
Chama,2015-01-01,2015-05-04,4827
Chama,2015-01-01,2015-05-04,5079
Chama,2015-01-01,2015-05-04,4846
Chama,2015-01-01,2015-05-04,4873
Chama,2015-01-01,2015-05-04,5080
Chama,2015-01-02,2015-05-05,4956
Chama,2015-01-02,2015-05-05,4760
Chama,2015-01-02,2015-05-05,4962
Chama,2015-01-03,2015-05-06,4920
Chama,2015-01-03,2015-05-06,5072
Chama,2015-01-03,2015-05-06,4943
Chama,2015-01-03,2015-05-06,4969
Chama,2015-01-04,2015-05-07,4732
Chama,2015-01-06,2015-05-09,4744
Chama,2015-01-06,2015-05-09,4897
Chama,2015-01-07,2015-05-11,4847
Chama,2015-01-07,2015-05-11,4733
Chama,2015-01-07,2015-05-11,4732
Chama,2015-01-09,2015-05-12,5135
Chama,2015-01-09,2015-05-12,4690
Chama,2015-01-10,2015-05-13,4559
Chama,2015-01-10,2015-05-13,4795
Chama,2015-01-10,2015-05-13,5174
Chama,2015-01-12,2015-05-16,4233
Chama,2015-01-13,2015-05-17,4765
Chama,2015-01-14,2015-05-18,5085
Chama,2015-01-14,2015-05-18,4307
Chama,2015-01-14,2015-05-18,4733
Chama,2015-01-14,2015-05-18,4946
Chama,2015-01-15,2015-05-20,4643
Chama,2015-01-16,2015-05-21,4901
Chama,2015-01-16,2015-05-21,5182
Chama,2015-01-17,2015-05-22,5043
Chama,2015-01-18,2015-05-21,4932
Chama,2015-01-19,2015-05-22,4968
Chama,2015-01-20,2015-05-23,3889
Chama,2015-01-20,2015-05-23,4557
Chama,2015-01-21,2015-05-24,5145
Chama,2015-01-21,2015-05-24,3848
Chama,2015-01-21,2015-05-24,4891
Chama,2015-01-22,2015-05-25,4074
Chama,2015-01-22,2015-05-25,5101
Chama,2015-01-22,2015-05-25,4978
Chama,2015-01-23,2015-05-26,4971
Chama,2015-01-23,2015-05-26,5218
Chama,2015-01-24,2015-05-27,5101
Chama,2015-01-25,2015-05-28,4276
Chama,2015-01-26,2015-05-29,5029
Chama,2015-01-28,2015-05-30,4491
Chama,2015-01-30,2015-05-30,4802
Chasefu,2014-10-15,2015-01-19,2761
Chasefu,2014-10-16,2015-01-21,3336
Chasefu,2014-10-16,2015-01-21,3263
Chasefu,2014-10-17,2015-01-23,3257
Chasefu,2014-10-17,2015-01-23,3563
Chasefu,2014-10-19,2015-01-26,3647
Chasefu,2014-10-19,2015-01-26,3685
Chasefu,2014-10-20,2015-01-28,3712
Chasefu,2014-10-20,2015-01-28,3990
Chasefu,2014-10-20,2015-01-28,4043
Chasefu,2014-10-20,2015-01-28,3376
Chasefu,2014-10-20,2015-01-28,4029
Chasefu,2014-10-20,2015-01-28,4124
Chasefu,2014-10-21,2015-01-30,4167
Chasefu,2014-10-21,2015-01-30,4285
Chasefu,2014-10-23,2015-01-30,4329
Chasefu,2014-10-23,2015-01-30,4191
Chasefu,2014-10-24,2015-01-31,4276
Chasefu,2014-10-25,2015-02-02,4370
Chasefu,2014-10-25,2015-02-02,4232
Chasefu,2014-10-26,2015-02-03,4335
Chasefu,2014-10-26,2015-02-03,4357
Chasefu,2014-10-26,2015-02-03,4280
Chasefu,2014-10-26,2015-02-03,4425
Chasefu,2014-10-27,2015-02-04,4446
Chasefu,2014-10-27,2015-02-04,4488
Chasefu,2014-10-28,2015-02-05,4476
Chasefu,2014-10-28,2015-02-05,4480
Chasefu,2014-10-29,2015-02-05,4559
Chasefu,2014-10-29,2015-02-05,4500
Chasefu,2014-10-30,2015-02-06,4389
Chasefu,2014-10-30,2015-02-06,4520
Chasefu,2014-10-31,2015-02-07,4468
Chasefu,2014-11-01,2015-02-11,4795
Chasefu,2014-11-01,2015-02-11,4780
Chasefu,2014-11-03,2015-02-17,4620
Chasefu,2014-11-03,2015-02-17,4757
Chasefu,2014-11-03,2015-02-17,4743
Chasefu,2014-11-04,2015-02-18,4634
Chasefu,2014-11-05,2015-02-20,4559
Chasefu,2014-11-06,2015-02-21,4716
Chasefu,2014-11-07,2015-02-22,4633
Chasefu,2014-11-09,2015-02-24,4893
Chasefu,2014-11-09,2015-02-24,4818
Chasefu,2014-11-11,2015-02-25,4836
Chasefu,2014-11-11,2015-02-25,4822
Chasefu,2014-11-12,2015-02-26,4962
Chasefu,2014-11-12,2015-02-26,4692
Chasefu,2014-11-13,2015-03-02,4738
Chasefu,2014-11-13,2015-03-02,4773
Chasefu,2015-01-01,2015-05-04,5045
Chasefu,2015-01-02,2015-05-05,4933
Chasefu,2015-01-04,2015-05-07,5000
Chasefu,2015-01-04,2015-05-07,5042
Chasefu,2015-01-05,2015-05-08,5037
Chasefu,2015-01-05,2015-05-08,4852
Chasefu,2015-01-06,2015-05-09,4990
Chasefu,2015-01-06,2015-05-09,5149
Chasefu,2015-01-07,2015-05-11,4948
Chasefu,2015-01-08,2015-05-12,5198
Chasefu,2015-01-08,2015-05-12,4975
Chasefu,2015-01-09,2015-05-12,4823
Chasefu,2015-01-10,2015-05-13,5069
Chasefu,2015-01-10,2015-05-13,4999
Chasefu,2015-01-11,2015-05-15,5355
Chasefu,2015-01-11,2015-05-15,5162
Chasefu,2015-01-11,2015-05-15,5130
Chasefu,2015-01-12,2015-05-16,5115
Chasefu,2015-01-12,2015-05-16,5086
Chasefu,2015-01-14,2015-05-18,5125
Chasefu,2015-01-14,2015-05-18,5119
Chasefu,2015-01-14,2015-05-18,4972
Chasefu,2015-01-14,2015-05-18,5281
Chasefu,2015-01-14,2015-05-18,4810
Chasefu,2015-01-14,2015-05-18,5311
Chasefu,2015-01-15,2015-05-20,5080
Chasefu,2015-01-16,2015-05-21,5126
Chasefu,2015-01-17,2015-05-22,5182
Chasefu,2015-01-18,2015-05-21,4874
Chasefu,2015-01-18,2015-05-21,5041
Chasefu,2015-01-18,2015-05-21,4689
Chasefu,2015-01-20,2015-05-23,5265
Chasefu,2015-01-21,2015-05-24,5081
Chasefu,2015-01-22,2015-05-25,5192
Chasefu,2015-01-22,2015-05-25,5176
