cname,planting,harvest,gwad
Chadiza,2017-10-15,2018-01-02,2567
Chadiza,2017-10-15,2018-01-02,2458
Chadiza,2017-10-15,2018-01-02,2543
Chadiza,2017-10-15,2018-01-02,2528
Chadiza,2017-10-17,2018-01-05,2608
Chadiza,2017-10-18,2018-01-07,2773
Chadiza,2017-10-19,2018-01-08,2864
Chadiza,2017-10-19,2018-01-08,2919
Chadiza,2017-10-20,2018-01-09,2737
Chadiza,2017-10-21,2018-01-13,3270
Chadiza,2017-10-22,2018-01-15,3382
Chadiza,2017-10-23,2018-01-16,3531
Chadiza,2017-10-24,2018-01-17,3530
Chadiza,2017-10-25,2018-01-18,3709
Chadiza,2017-10-25,2018-01-18,3774
Chadiza,2017-10-26,2018-01-20,3571
Chadiza,2017-10-26,2018-01-20,3570
Chadiza,2017-10-26,2018-01-20,3574
Chadiza,2017-10-26,2018-01-20,3548
Chadiza,2017-10-26,2018-01-20,3500
Chadiza,2017-10-27,2018-01-21,3770
Chadiza,2017-10-28,2018-01-23,3705
Chadiza,2017-10-28,2018-01-23,3720
Chadiza,2017-10-28,2018-01-23,3713
Chadiza,2017-10-29,2018-01-22,3659
Chadiza,2017-10-31,2018-01-24,3852
Chadiza,2017-10-31,2018-01-24,3857
Chadiza,2017-11-01,2018-01-26,3944
Chadiza,2017-11-02,2018-01-27,3942
Chadiza,2017-11-03,2018-01-28,3722
Chadiza,2017-11-04,2018-02-02,4388
Chadiza,2017-11-04,2018-02-02,4400
Chadiza,2017-11-05,2018-02-03,4305
Chadiza,2017-11-06,2018-02-05,4258
Chadiza,2017-11-06,2018-02-05,4252
Chadiza,2017-11-07,2018-02-05,4188
Chadiza,2017-11-07,2018-02-05,4204
Chadiza,2017-11-07,2018-02-05,4319
Chadiza,2017-11-07,2018-02-05,4193
Chadiza,2017-11-07,2018-02-05,4206
Chadiza,2017-11-08,2018-02-07,4186
Chadiza,2017-11-10,2018-02-09,4258
Chadiza,2017-11-10,2018-02-09,4020
Chadiza,2017-11-10,2018-02-09,4136
Chadiza,2017-11-11,2018-02-09,4206
Chadiza,2017-11-12,2018-02-10,3911
Chadiza,2017-11-13,2018-02-11,4031
Chadiza,2017-11-13,2018-02-11,4031
Chadiza,2017-11-13,2018-02-11,3901
Chadiza,2017-11-13,2018-02-11,4031
Chadiza,2018-01-01,2018-04-10,3733
Chadiza,2018-01-01,2018-04-10,3734
Chadiza,2018-01-02,2018-04-11,3597
Chadiza,2018-01-02,2018-04-11,3586
Chadiza,2018-01-02,2018-04-11,3590
Chadiza,2018-01-03,2018-04-12,3655
Chadiza,2018-01-06,2018-04-15,3620
Chadiza,2018-01-07,2018-04-16,3621
Chadiza,2018-01-07,2018-04-16,3613
Chadiza,2018-01-07,2018-04-16,3609
Chadiza,2018-01-08,2018-04-17,3790
Chadiza,2018-01-09,2018-04-20,3787
Chadiza,2018-01-09,2018-04-20,3784
Chadiza,2018-01-09,2018-04-20,3783
Chadiza,2018-01-10,2018-04-21,3821
Chadiza,2018-01-11,2018-04-22,3782
Chadiza,2018-01-11,2018-04-22,3773
Chadiza,2018-01-12,2018-04-23,3824
Chadiza,2018-01-13,2018-04-24,3814
Chadiza,2018-01-14,2018-04-25,3773
Chadiza,2018-01-14,2018-04-25,3767
Chadiza,2018-01-14,2018-04-25,3772
Chadiza,2018-01-15,2018-04-26,3750
Chadiza,2018-01-15,2018-04-26,3759
Chadiza,2018-01-15,2018-04-26,3755
Chadiza,2018-01-16,2018-04-27,3753
