cname,planting,harvest,gwad
Chadiza,2013-10-15,2014-01-31,4762
Chadiza,2013-10-16,2014-01-29,4757
Chadiza,2013-10-17,2014-01-30,4890
Chadiza,2013-10-17,2014-01-30,4440
Chadiza,2013-10-17,2014-01-30,4550
Chadiza,2013-10-19,2014-02-04,5880
Chadiza,2013-10-20,2014-02-06,5698
Chadiza,2013-10-21,2014-02-07,5766
Chadiza,2013-10-21,2014-02-07,5867
Chadiza,2013-10-21,2014-02-07,5818
Chadiza,2013-10-21,2014-02-07,5750
Chadiza,2013-10-21,2014-02-07,5727
Chadiza,2013-10-22,2014-02-09,5906
Chadiza,2013-10-22,2014-02-09,5707
Chadiza,2013-10-22,2014-02-09,5694
Chadiza,2013-10-23,2014-02-10,6178
Chadiza,2013-10-23,2014-02-10,5735
Chadiza,2013-10-24,2014-02-11,6010
Chadiza,2013-10-24,2014-02-11,5919
Chadiza,2013-10-27,2014-02-16,6422
Chadiza,2013-10-28,2014-02-17,6190
Chadiza,2013-10-29,2014-02-19,5978
Chadiza,2013-10-29,2014-02-19,6116
Chadiza,2013-10-30,2014-02-20,6028
Chadiza,2013-10-30,2014-02-20,6148
Chadiza,2013-10-31,2014-02-21,5788
Chadiza,2013-10-31,2014-02-21,5928
Chadiza,2013-10-31,2014-02-21,5910
Chadiza,2013-11-01,2014-02-22,5955
Chadiza,2013-11-01,2014-02-22,6199
Chadiza,2013-11-02,2014-02-23,5683
Chadiza,2013-11-04,2014-02-25,5861
Chadiza,2013-11-05,2014-02-27,5817
Chadiza,2013-11-06,2014-03-01,5955
Chadiza,2013-11-06,2014-03-01,5701
Chadiza,2013-11-08,2014-03-06,5441
Chadiza,2013-11-08,2014-03-06,5778
Chadiza,2013-11-09,2014-03-07,5513
Chadiza,2013-11-10,2014-03-12,5368
Chadiza,2013-11-11,2014-03-13,5454
Chadiza,2013-11-11,2014-03-13,5573
Chadiza,2013-11-11,2014-03-13,6099
Chadiza,2013-11-11,2014-03-13,5565
Chadiza,2013-11-11,2014-03-13,5845
Chadiza,2013-11-12,2014-03-15,5788
Chadiza,2013-11-12,2014-03-15,5493
Chadiza,2013-11-12,2014-03-15,5302
Chadiza,2013-11-13,2014-03-16,5623
Chadiza,2013-11-13,2014-03-16,5643
Chadiza,2013-11-13,2014-03-16,5570
Chadiza,2014-01-01,2014-05-07,6582
Chadiza,2014-01-01,2014-05-07,6320
Chadiza,2014-01-02,2014-05-08,6111
Chadiza,2014-01-03,2014-05-09,6368
Chadiza,2014-01-03,2014-05-09,6645
Chadiza,2014-01-03,2014-05-09,6263
Chadiza,2014-01-05,2014-05-11,5930
Chadiza,2014-01-05,2014-05-11,5972
Chadiza,2014-01-06,2014-05-12,6735
Chadiza,2014-01-06,2014-05-12,6011
Chadiza,2014-01-06,2014-05-12,6116
Chadiza,2014-01-06,2014-05-12,6190
Chadiza,2014-01-08,2014-05-16,6205
Chadiza,2014-01-08,2014-05-16,6881
Chadiza,2014-01-10,2014-05-18,6552
Chadiza,2014-01-10,2014-05-18,5972
Chadiza,2014-01-10,2014-05-18,6092
Chadiza,2014-01-10,2014-05-18,5841
Chadiza,2014-01-11,2014-05-19,6715
Chadiza,2014-01-11,2014-05-19,6713
Chadiza,2014-01-11,2014-05-19,5928
Chadiza,2014-01-12,2014-05-20,5916
Chadiza,2014-01-12,2014-05-20,5892
Chadiza,2014-01-12,2014-05-20,5983
Chadiza,2014-01-13,2014-05-21,6067
Chadiza,2014-01-13,2014-05-21,6510
Chadiza,2014-01-15,2014-05-24,6395
Chadiza,2014-01-15,2014-05-24,6203
Chadiza,2014-01-15,2014-05-24,6130
Chadiza,2014-01-16,2014-05-22,6164
Chadiza,2014-01-16,2014-05-22,5933
Chadiza,2014-01-16,2014-05-22,6234
Chadiza,2014-01-17,2014-05-23,6001
Chadiza,2014-01-18,2014-05-24,6074
Chadiza,2014-01-19,2014-05-28,6319
Chadiza,2014-01-21,2014-05-29,6145
Chadiza,2014-01-21,2014-05-29,5973
Chadiza,2014-01-21,2014-05-29,6256
Chadiza,2014-01-22,2014-05-30,5969
Chadiza,2014-01-22,2014-05-30,5982
Chadiza,2014-01-22,2014-05-30,5933
Chadiza,2014-01-23,2014-05-30,6780
Chadiza,2014-01-24,2014-05-30,6560
Chadiza,2014-01-25,2014-05-30,6145
Chadiza,2014-01-25,2014-05-30,6716
Chadiza,2014-01-27,2014-05-30,5915
Chadiza,2014-01-28,2014-05-30,6273
Chadiza,2014-01-30,2014-05-30,6056
Chadiza,2014-01-30,2014-05-30,5725
Chadiza,2014-01-30,2014-05-30,6099
Chama,2013-10-15,2014-01-31,5889
Chama,2013-10-15,2014-01-31,5913
Chama,2013-10-16,2014-01-29,5785
Chama,2013-10-17,2014-01-30,5995
Chama,2013-10-17,2014-01-30,5839
Chama,2013-10-17,2014-01-30,6513
Chama,2013-10-18,2014-01-31,5972
Chama,2013-10-18,2014-01-31,5592
Chama,2013-10-18,2014-01-31,5768
Chama,2013-10-18,2014-01-31,5710
Chama,2013-10-18,2014-01-31,5679
Chama,2013-10-18,2014-01-31,5845
Chama,2013-10-19,2014-02-04,6034
Chama,2013-10-21,2014-02-07,5815
Chama,2013-10-21,2014-02-07,5786
Chama,2013-10-22,2014-02-09,5818
Chama,2013-10-22,2014-02-09,6179
Chama,2013-10-22,2014-02-09,5609
Chama,2013-10-22,2014-02-09,5502
Chama,2013-10-24,2014-02-11,5637
Chama,2013-10-25,2014-02-13,5403
Chama,2013-10-26,2014-02-14,5886
Chama,2013-10-26,2014-02-14,5969
Chama,2013-10-27,2014-02-16,5723
Chama,2013-10-28,2014-02-17,5945
Chama,2013-10-29,2014-02-19,6694
Chama,2013-10-29,2014-02-19,6444
Chama,2013-10-29,2014-02-19,6108
Chama,2013-10-29,2014-02-19,6279
Chama,2013-10-30,2014-02-20,6240
Chama,2013-11-02,2014-02-23,6209
Chama,2013-11-02,2014-02-23,6366
Chama,2013-11-03,2014-02-24,6258
Chama,2013-11-03,2014-02-24,6147
Chama,2013-11-03,2014-02-24,6078
Chama,2013-11-04,2014-02-25,6216
Chama,2013-11-05,2014-02-25,6527
Chama,2013-11-05,2014-02-25,5871
Chama,2013-11-06,2014-02-26,6574
Chama,2013-11-06,2014-02-26,6405
Chama,2013-11-06,2014-02-26,6450
Chama,2013-11-07,2014-02-27,6298
Chama,2013-11-07,2014-02-27,6279
Chama,2013-11-08,2014-03-03,6044
Chama,2013-11-10,2014-03-09,5677
Chama,2013-11-11,2014-03-10,6242
Chama,2013-11-11,2014-03-10,6254
Chama,2013-11-12,2014-03-12,6064
Chama,2013-11-12,2014-03-12,6096
Chama,2013-11-13,2014-03-13,5978
Chama,2014-01-01,2014-05-07,6156
