cname,planting,harvest,gwad
Chadiza,2011-10-15,2012-02-11,6317
Chadiza,2011-10-15,2012-02-11,6214
Chadiza,2011-10-15,2012-02-11,6404
Chadiza,2011-10-15,2012-02-11,6145
Chadiza,2011-10-15,2012-02-11,6298
Chadiza,2011-10-15,2012-02-11,6439
Chadiza,2011-10-16,2012-02-12,6276
Chadiza,2011-10-16,2012-02-12,6299
Chadiza,2011-10-16,2012-02-12,6189
Chadiza,2011-10-19,2012-02-16,6287
Chadiza,2011-10-19,2012-02-16,6294
Chadiza,2011-10-21,2012-02-21,6712
Chadiza,2011-10-23,2012-02-24,6622
Chadiza,2011-10-23,2012-02-24,6692
Chadiza,2011-10-26,2012-02-28,6708
Chadiza,2011-10-26,2012-02-28,6527
Chadiza,2011-10-27,2012-02-29,6511
Chadiza,2011-10-27,2012-02-29,6666
Chadiza,2011-10-28,2012-03-01,6477
Chadiza,2011-10-28,2012-03-01,6823
Chadiza,2011-10-28,2012-03-01,6607
Chadiza,2011-10-29,2012-03-02,6728
Chadiza,2011-10-29,2012-03-02,6659
Chadiza,2011-10-30,2012-03-06,6793
Chadiza,2011-10-31,2012-03-08,6647
Chadiza,2011-10-31,2012-03-08,6876
Chadiza,2011-11-01,2012-03-09,6677
Chadiza,2011-11-02,2012-03-10,6570
Chadiza,2011-11-02,2012-03-10,6680
Chadiza,2011-11-03,2012-03-11,6863
Chadiza,2011-11-04,2012-03-11,6640
Chadiza,2011-11-05,2012-03-12,6542
Chadiza,2011-11-05,2012-03-12,6747
Chadiza,2011-11-05,2012-03-12,6491
Chadiza,2011-11-05,2012-03-12,6659
Chadiza,2011-11-05,2012-03-12,6554
Chadiza,2011-11-06,2012-03-12,6757
Chadiza,2011-11-07,2012-03-13,6632
Chadiza,2011-11-07,2012-03-13,6475
Chadiza,2011-11-08,2012-03-13,6827
Chadiza,2011-11-09,2012-03-17,6381
Chadiza,2011-11-09,2012-03-17,6633
Chadiza,2011-11-11,2012-03-22,7142
Chadiza,2011-11-11,2012-03-22,6552
Chadiza,2011-11-12,2012-03-22,6695
Chadiza,2011-11-12,2012-03-22,6319
Chadiza,2011-11-12,2012-03-22,7049
Chadiza,2011-11-12,2012-03-22,6439
Chadiza,2011-11-13,2012-03-23,6687
Chadiza,2011-11-13,2012-03-23,6825
Chadiza,2012-01-01,2012-05-17,6706
Chadiza,2012-01-01,2012-05-17,6680
Chadiza,2012-01-01,2012-05-17,6669
Chadiza,2012-01-01,2012-05-17,6700
Chadiza,2012-01-02,2012-05-18,6687
Chadiza,2012-01-03,2012-05-19,6616
Chadiza,2012-01-04,2012-05-22,7165
Chadiza,2012-01-05,2012-05-23,6949
Chadiza,2012-01-05,2012-05-23,6905
Chadiza,2012-01-06,2012-05-24,6521
Chadiza,2012-01-06,2012-05-24,7320
Chadiza,2012-01-07,2012-05-25,6845
Chadiza,2012-01-08,2012-05-26,6480
Chadiza,2012-01-08,2012-05-26,6753
Chadiza,2012-01-09,2012-05-27,6704
Chadiza,2012-01-10,2012-05-28,6468
Chadiza,2012-01-11,2012-05-29,6935
Chadiza,2012-01-11,2012-05-29,6343
Chadiza,2012-01-11,2012-05-29,6732
Chadiza,2012-01-14,2012-05-30,6571
Chadiza,2012-01-15,2012-05-30,6181
Chadiza,2012-01-15,2012-05-30,6351
Chadiza,2012-01-16,2012-05-30,6157
Chadiza,2012-01-17,2012-05-30,6938
Chadiza,2012-01-17,2012-05-30,6610
Chadiza,2012-01-17,2012-05-30,6333
Chadiza,2012-01-17,2012-05-30,6272
Chadiza,2012-01-18,2012-05-30,6118
Chadiza,2012-01-19,2012-05-30,5919
Chadiza,2012-01-19,2012-05-30,6404
Chadiza,2012-01-20,2012-05-30,6054
Chadiza,2012-01-21,2012-05-30,6543
Chadiza,2012-01-22,2012-05-30,6388
Chadiza,2012-01-22,2012-05-30,6679
Chadiza,2012-01-22,2012-05-30,5916
Chadiza,2012-01-23,2012-05-30,5814
Chadiza,2012-01-25,2012-05-30,6159
Chadiza,2012-01-25,2012-05-30,5803
Chadiza,2012-01-25,2012-05-30,5857
Chadiza,2012-01-26,2012-05-30,5927
Chadiza,2012-01-26,2012-05-30,5738
Chadiza,2012-01-27,2012-05-30,6083
Chadiza,2012-01-28,2012-05-30,5690
Chadiza,2012-01-28,2012-05-30,5705
Chadiza,2012-01-28,2012-05-30,5767
Chadiza,2012-01-29,2012-05-30,6048
Chadiza,2012-01-29,2012-05-30,6053
Chadiza,2012-01-29,2012-05-30,5744
Chadiza,2012-01-29,2012-05-30,6038
Chadiza,2012-01-30,2012-05-30,5655
Chama,2011-10-16,2012-02-12,8187
Chama,2011-10-16,2012-02-12,7427
Chama,2011-10-17,2012-02-13,7088
Chama,2011-10-17,2012-02-13,7332
Chama,2011-10-19,2012-02-16,8410
Chama,2011-10-19,2012-02-16,7462
Chama,2011-10-20,2012-02-20,7219
Chama,2011-10-21,2012-02-21,7125
Chama,2011-10-21,2012-02-21,7239
Chama,2011-10-23,2012-02-24,7890
Chama,2011-10-23,2012-02-24,8782
Chama,2011-10-23,2012-02-24,7366
Chama,2011-10-24,2012-02-26,7228
Chama,2011-10-24,2012-02-26,7524
Chama,2011-10-25,2012-02-27,8141
Chama,2011-10-25,2012-02-27,7599
Chama,2011-10-26,2012-02-28,7450
Chama,2011-10-26,2012-02-28,7165
Chama,2011-10-26,2012-02-28,7305
Chama,2011-10-28,2012-03-01,7215
Chama,2011-10-28,2012-03-01,6837
Chama,2011-10-29,2012-03-02,7341
Chama,2011-10-29,2012-03-02,7209
Chama,2011-10-29,2012-03-02,8169
Chama,2011-10-30,2012-03-06,8846
Chama,2011-10-31,2012-03-08,7966
Chama,2011-11-02,2012-03-10,7779
Chama,2011-11-02,2012-03-10,7599
Chama,2011-11-03,2012-03-11,7015
Chama,2011-11-03,2012-03-11,7243
Chama,2011-11-03,2012-03-11,6946
Chama,2011-11-04,2012-03-11,8379
Chama,2011-11-04,2012-03-11,7612
Chama,2011-11-04,2012-03-11,7754
Chama,2011-11-05,2012-03-12,6880
Chama,2011-11-06,2012-03-12,7766
Chama,2011-11-06,2012-03-12,7511
Chama,2011-11-06,2012-03-12,7609
Chama,2011-11-07,2012-03-13,7353
Chama,2011-11-07,2012-03-13,7180
Chama,2011-11-09,2012-03-17,7591
Chama,2011-11-09,2012-03-17,7795
Chama,2011-11-09,2012-03-17,7343
Chama,2011-11-09,2012-03-17,8189
Chama,2011-11-10,2012-03-19,7333
Chama,2011-11-10,2012-03-19,6961
Chama,2011-11-11,2012-03-22,8064
Chama,2011-11-12,2012-03-22,7404
Chama,2011-11-12,2012-03-22,8432
Chama,2011-11-12,2012-03-22,7788
Chama,2012-01-03,2012-05-19,6938
Chama,2012-01-04,2012-05-22,7120
Chama,2012-01-05,2012-05-23,8884
Chama,2012-01-05,2012-05-23,7159
Chama,2012-01-05,2012-05-23,6813
Chama,2012-01-05,2012-05-23,7203
