cname,planting,harvest,gwad
Chadiza,2012-10-14,2013-01-20,4372
Chadiza,2012-10-14,2013-01-20,3922
Chadiza,2012-10-14,2013-01-20,4154
Chadiza,2012-10-14,2013-01-20,4446
Chadiza,2012-10-15,2013-01-22,4656
Chadiza,2012-10-16,2013-01-23,4687
Chadiza,2012-10-17,2013-01-24,4782
Chadiza,2012-10-18,2013-01-26,4641
Chadiza,2012-10-18,2013-01-26,4777
Chadiza,2012-10-18,2013-01-26,4944
Chadiza,2012-10-19,2013-01-27,4925
Chadiza,2012-10-19,2013-01-27,4982
Chadiza,2012-10-20,2013-01-29,4898
Chadiza,2012-10-22,2013-02-01,5046
Chadiza,2012-10-22,2013-02-01,5049
Chadiza,2012-10-23,2013-02-03,5150
Chadiza,2012-10-23,2013-02-03,5193
Chadiza,2012-10-24,2013-02-04,5295
Chadiza,2012-10-24,2013-02-04,5391
Chadiza,2012-10-25,2013-02-06,5175
Chadiza,2012-10-26,2013-02-08,5119
Chadiza,2012-10-27,2013-02-09,5048
Chadiza,2012-10-28,2013-02-11,5164
Chadiza,2012-10-29,2013-02-13,5162
Chadiza,2012-10-30,2013-02-15,5105
Chadiza,2012-10-30,2013-02-15,5059
Chadiza,2012-10-31,2013-02-16,5116
Chadiza,2012-10-31,2013-02-16,5196
Chadiza,2012-11-01,2013-02-18,5273
Chadiza,2012-11-02,2013-02-16,5079
Chadiza,2012-11-04,2013-02-19,4983
Chadiza,2012-11-04,2013-02-19,4944
Chadiza,2012-11-05,2013-02-20,5325
Chadiza,2012-11-05,2013-02-20,5119
Chadiza,2012-11-06,2013-02-20,5302
Chadiza,2012-11-06,2013-02-20,4916
Chadiza,2012-11-06,2013-02-20,4865
Chadiza,2012-11-07,2013-02-23,5214
Chadiza,2012-11-07,2013-02-23,4908
Chadiza,2012-11-08,2013-02-24,5086
Chadiza,2012-11-09,2013-02-26,5189
Chadiza,2012-11-09,2013-02-26,5178
Chadiza,2012-11-09,2013-02-26,4892
Chadiza,2012-11-10,2013-03-01,5188
Chadiza,2012-11-10,2013-03-01,5373
Chadiza,2012-11-10,2013-03-01,5730
Chadiza,2012-11-11,2013-03-02,5256
Chadiza,2012-11-11,2013-03-02,4958
Chadiza,2012-11-11,2013-03-02,5154
Chadiza,2012-11-11,2013-03-02,5159
Chadiza,2013-01-02,2013-05-03,4766
Chadiza,2013-01-02,2013-05-03,4732
Chadiza,2013-01-02,2013-05-03,4882
Chadiza,2013-01-02,2013-05-03,4670
Chadiza,2013-01-02,2013-05-03,4826
Chadiza,2013-01-03,2013-05-04,5275
Chadiza,2013-01-03,2013-05-04,4915
Chadiza,2013-01-04,2013-05-05,4910
Chadiza,2013-01-04,2013-05-05,4723
Chadiza,2013-01-05,2013-05-06,4796
Chadiza,2013-01-05,2013-05-06,5001
Chadiza,2013-01-06,2013-05-07,4779
Chadiza,2013-01-06,2013-05-07,4952
Chadiza,2013-01-07,2013-05-08,4704
Chadiza,2013-01-07,2013-05-08,4876
Chadiza,2013-01-09,2013-05-11,4673
Chadiza,2013-01-11,2013-05-12,4751
Chadiza,2013-01-11,2013-05-12,4763
Chadiza,2013-01-13,2013-05-14,4823
Chadiza,2013-01-13,2013-05-14,4695
Chadiza,2013-01-13,2013-05-14,5163
Chadiza,2013-01-14,2013-05-15,5401
Chadiza,2013-01-14,2013-05-15,4728
Chadiza,2013-01-15,2013-05-16,4764
Chadiza,2013-01-15,2013-05-16,4785
Chadiza,2013-01-16,2013-05-17,4848
Chadiza,2013-01-16,2013-05-17,4794
Chadiza,2013-01-17,2013-05-18,4903
Chadiza,2013-01-18,2013-05-19,4707
Chadiza,2013-01-19,2013-05-20,4644
Chadiza,2013-01-20,2013-05-21,4636
Chadiza,2013-01-20,2013-05-21,4777
Chadiza,2013-01-21,2013-05-22,4859
Chadiza,2013-01-21,2013-05-22,4858
Chadiza,2013-01-22,2013-05-23,4795
Chadiza,2013-01-22,2013-05-23,4918
Chadiza,2013-01-22,2013-05-23,4901
Chadiza,2013-01-22,2013-05-23,5183
Chadiza,2013-01-23,2013-05-24,4719
Chadiza,2013-01-24,2013-05-25,5007
Chadiza,2013-01-25,2013-05-26,4888
Chadiza,2013-01-25,2013-05-26,5025
Chadiza,2013-01-26,2013-05-27,5073
Chadiza,2013-01-26,2013-05-27,4604
Chadiza,2013-01-26,2013-05-27,5064
Chadiza,2013-01-27,2013-05-28,4750
Chadiza,2013-01-27,2013-05-28,4842
Chadiza,2013-01-28,2013-05-29,4866
Chadiza,2013-01-29,2013-05-30,4644
Chadiza,2013-01-30,2013-05-30,4600
Chama,2012-10-14,2013-01-20,5373
Chama,2012-10-14,2013-01-20,5107
Chama,2012-10-14,2013-01-20,5185
Chama,2012-10-15,2013-01-22,5012
Chama,2012-10-15,2013-01-22,5014
Chama,2012-10-15,2013-01-22,5241
