cname,planting,harvest,gwad
Chadiza,2018-10-15,2019-01-30,5794
Chadiza,2018-10-16,2019-01-31,5834
Chadiza,2018-10-16,2019-01-31,5840
Chadiza,2018-10-16,2019-01-31,5791
Chadiza,2018-10-17,2019-02-05,6265
Chadiza,2018-10-18,2019-02-07,6191
Chadiza,2018-10-18,2019-02-07,6155
Chadiza,2018-10-18,2019-02-07,6101
Chadiza,2018-10-19,2019-02-08,6003
Chadiza,2018-10-20,2019-02-06,6010
Chadiza,2018-10-20,2019-02-06,6148
Chadiza,2018-10-21,2019-02-08,5945
Chadiza,2018-10-21,2019-02-08,6143
Chadiza,2018-10-22,2019-02-09,5942
Chadiza,2018-10-22,2019-02-09,5749
Chadiza,2018-10-22,2019-02-09,5944
Chadiza,2018-10-23,2019-02-11,5951
Chadiza,2018-10-24,2019-02-12,5718
Chadiza,2018-10-26,2019-02-15,5898
Chadiza,2018-10-28,2019-02-17,6184
Chadiza,2018-10-28,2019-02-17,6218
Chadiza,2018-10-30,2019-02-21,6017
Chadiza,2018-10-31,2019-02-22,6897
Chadiza,2018-10-31,2019-02-22,5843
Chadiza,2018-10-31,2019-02-22,5835
Chadiza,2018-10-31,2019-02-22,5975
Chadiza,2018-11-01,2019-02-23,6194
Chadiza,2018-11-01,2019-02-23,5913
Chadiza,2018-11-02,2019-02-24,6275
Chadiza,2018-11-02,2019-02-24,6237
Chadiza,2018-11-02,2019-02-24,6964
Chadiza,2018-11-04,2019-03-01,6546
Chadiza,2018-11-04,2019-03-01,5930
Chadiza,2018-11-05,2019-03-02,6047
Chadiza,2018-11-05,2019-03-02,6585
Chadiza,2018-11-05,2019-03-02,5828
Chadiza,2018-11-05,2019-03-02,6038
Chadiza,2018-11-05,2019-03-02,6147
Chadiza,2018-11-07,2019-03-08,5963
Chadiza,2018-11-07,2019-03-08,6531
Chadiza,2018-11-08,2019-03-10,6030
Chadiza,2018-11-08,2019-03-10,6251
Chadiza,2018-11-08,2019-03-10,6829
Chadiza,2018-11-08,2019-03-10,6459
Chadiza,2018-11-09,2019-03-08,6322
Chadiza,2018-11-10,2019-03-09,6071
Chadiza,2018-11-10,2019-03-09,6560
Chadiza,2018-11-11,2019-03-10,6330
Chadiza,2018-11-12,2019-03-15,6234
Chadiza,2018-11-12,2019-03-15,6013
Chadiza,2019-01-02,2019-05-07,6051
Chadiza,2019-01-02,2019-05-07,5479
Chadiza,2019-01-02,2019-05-07,5520
Chadiza,2019-01-04,2019-05-09,5663
Chadiza,2019-01-04,2019-05-09,5699
Chadiza,2019-01-05,2019-05-09,6000
Chadiza,2019-01-05,2019-05-09,6051
Chadiza,2019-01-06,2019-05-10,5919
Chadiza,2019-01-07,2019-05-11,5912
Chadiza,2019-01-07,2019-05-11,5723
Chadiza,2019-01-07,2019-05-11,5710
Chadiza,2019-01-08,2019-05-12,5844
Chadiza,2019-01-08,2019-05-12,5322
Chadiza,2019-01-08,2019-05-12,5764
Chadiza,2019-01-10,2019-05-14,5266
Chadiza,2019-01-10,2019-05-14,5455
Chadiza,2019-01-11,2019-05-17,6091
Chadiza,2019-01-11,2019-05-17,5375
Chadiza,2019-01-11,2019-05-17,5367
Chadiza,2019-01-12,2019-05-18,5346
Chadiza,2019-01-12,2019-05-18,5259
Chadiza,2019-01-12,2019-05-18,5241
Chadiza,2019-01-13,2019-05-19,5350
Chadiza,2019-01-13,2019-05-19,5319
