cname,planting,harvest,gwad
Chadiza,2014-10-15,2015-02-03,5396
Chadiza,2014-10-15,2015-02-03,5774
Chadiza,2014-10-15,2015-02-03,5772
Chadiza,2014-10-16,2015-02-02,5588
Chadiza,2014-10-17,2015-02-03,4980
Chadiza,2014-10-17,2015-02-03,5974
Chadiza,2014-10-18,2015-02-05,5874
Chadiza,2014-10-18,2015-02-05,5908
Chadiza,2014-10-18,2015-02-05,5730
Chadiza,2014-10-18,2015-02-05,5993
Chadiza,2014-10-19,2015-02-07,5918
Chadiza,2014-10-19,2015-02-07,5791
Chadiza,2014-10-19,2015-02-07,5939
Chadiza,2014-10-20,2015-02-08,5910
Chadiza,2014-10-21,2015-02-10,6075
Chadiza,2014-10-23,2015-02-13,6033
Chadiza,2014-10-23,2015-02-13,6143
Chadiza,2014-10-24,2015-02-15,6052
Chadiza,2014-10-24,2015-02-15,6048
Chadiza,2014-10-27,2015-02-19,6083
Chadiza,2014-10-27,2015-02-19,6301
Chadiza,2014-10-28,2015-02-21,6024
Chadiza,2014-10-28,2015-02-21,6336
Chadiza,2014-10-29,2015-02-22,6014
Chadiza,2014-10-29,2015-02-22,6009
Chadiza,2014-10-30,2015-02-23,6051
Chadiza,2014-10-30,2015-02-23,5972
Chadiza,2014-10-31,2015-02-23,5699
Chadiza,2014-11-02,2015-02-25,5775
Chadiza,2014-11-03,2015-02-26,5783
Chadiza,2014-11-03,2015-02-26,5926
Chadiza,2014-11-03,2015-02-26,5717
Chadiza,2014-11-03,2015-02-26,6108
Chadiza,2014-11-05,2015-03-03,6103
Chadiza,2014-11-05,2015-03-03,5992
Chadiza,2014-11-07,2015-03-11,5984
Chadiza,2014-11-08,2015-03-12,6184
Chadiza,2014-11-08,2015-03-12,6584
Chadiza,2014-11-09,2015-03-14,6230
Chadiza,2014-11-09,2015-03-14,6543
Chadiza,2014-11-09,2015-03-14,6243
Chadiza,2014-11-09,2015-03-14,6049
Chadiza,2014-11-10,2015-03-14,6097
Chadiza,2014-11-10,2015-03-14,6155
Chadiza,2014-11-11,2015-03-15,6501
Chadiza,2014-11-12,2015-03-15,6266
Chadiza,2014-11-12,2015-03-15,6183
Chadiza,2014-11-13,2015-03-16,6265
Chadiza,2014-11-13,2015-03-16,6048
Chadiza,2014-11-13,2015-03-16,6282
Chadiza,2015-01-01,2015-05-13,5193
Chadiza,2015-01-01,2015-05-13,5754
Chadiza,2015-01-01,2015-05-13,5564
Chadiza,2015-01-02,2015-05-14,5480
Chadiza,2015-01-02,2015-05-14,5706
Chadiza,2015-01-04,2015-05-16,6302
Chadiza,2015-01-04,2015-05-16,6173
Chadiza,2015-01-04,2015-05-16,5092
Chadiza,2015-01-04,2015-05-16,5372
Chadiza,2015-01-06,2015-05-21,5190
Chadiza,2015-01-06,2015-05-21,5292
Chadiza,2015-01-07,2015-05-22,5878
Chadiza,2015-01-09,2015-05-25,5897
Chadiza,2015-01-09,2015-05-25,5888
Chadiza,2015-01-09,2015-05-25,5466
Chadiza,2015-01-10,2015-05-26,5573
Chadiza,2015-01-12,2015-05-28,5476
Chadiza,2015-01-12,2015-05-28,5557
Chadiza,2015-01-12,2015-05-28,5458
Chadiza,2015-01-13,2015-05-29,5888
Chadiza,2015-01-13,2015-05-29,6103
Chadiza,2015-01-13,2015-05-29,6033
Chadiza,2015-01-14,2015-05-30,5715
Chadiza,2015-01-14,2015-05-30,5443
Chadiza,2015-01-14,2015-05-30,5402
Chadiza,2015-01-14,2015-05-30,5387
Chadiza,2015-01-15,2015-05-31,5484
Chadiza,2015-01-16,2015-06-01,5795
Chadiza,2015-01-17,2015-05-31,5572
Chadiza,2015-01-18,2015-06-01,5527
Chadiza,2015-01-19,2015-06-02,5589
Chadiza,2015-01-19,2015-06-02,5611
Chadiza,2015-01-20,2015-06-03,5568
Chadiza,2015-01-20,2015-06-03,6032
Chadiza,2015-01-21,2015-06-04,6305
Chadiza,2015-01-21,2015-06-04,5642
Chadiza,2015-01-22,2015-06-06,5356
