cname,planting,harvest,gwad
Chadiza,2014-10-15,2015-02-06,4981
Chadiza,2014-10-15,2015-02-06,5033
Chadiza,2014-10-15,2015-02-06,4959
Chadiza,2014-10-16,2015-02-07,5216
Chadiza,2014-10-17,2015-02-09,5447
Chadiza,2014-10-17,2015-02-09,5243
Chadiza,2014-10-18,2015-02-07,5098
Chadiza,2014-10-18,2015-02-07,5280
Chadiza,2014-10-19,2015-02-09,5353
Chadiza,2014-10-19,2015-02-09,5371
Chadiza,2014-10-21,2015-02-12,5545
Chadiza,2014-10-21,2015-02-12,5503
Chadiza,2014-10-21,2015-02-12,5510
Chadiza,2014-10-22,2015-02-14,5763
Chadiza,2014-10-23,2015-02-16,5910
Chadiza,2014-10-25,2015-02-19,6013
Chadiza,2014-10-25,2015-02-19,6089
Chadiza,2014-10-25,2015-02-19,6143
Chadiza,2014-10-25,2015-02-19,5887
Chadiza,2014-10-26,2015-02-20,6101
Chadiza,2014-10-28,2015-02-23,6113
Chadiza,2014-10-29,2015-02-24,6173
Chadiza,2014-10-30,2015-02-24,6260
Chadiza,2014-10-30,2015-02-24,6045
Chadiza,2014-10-31,2015-02-25,6285
Chadiza,2014-11-01,2015-02-26,6223
Chadiza,2014-11-02,2015-02-27,6236
Chadiza,2014-11-03,2015-02-28,6493
Chadiza,2014-11-03,2015-02-28,6766
Chadiza,2014-11-04,2015-03-05,6059
Chadiza,2014-11-04,2015-03-05,6130
Chadiza,2014-11-05,2015-03-06,6194
Chadiza,2014-11-06,2015-03-08,6190
Chadiza,2014-11-06,2015-03-08,6286
Chadiza,2014-11-07,2015-03-13,6392
Chadiza,2014-11-07,2015-03-13,6328
Chadiza,2014-11-07,2015-03-13,6125
Chadiza,2014-11-07,2015-03-13,6568
Chadiza,2014-11-08,2015-03-14,6069
Chadiza,2014-11-08,2015-03-14,5957
Chadiza,2014-11-09,2015-03-15,6201
Chadiza,2014-11-09,2015-03-15,6459
Chadiza,2014-11-09,2015-03-15,6167
Chadiza,2014-11-10,2015-03-16,6092
Chadiza,2014-11-10,2015-03-16,5940
Chadiza,2014-11-10,2015-03-16,5908
Chadiza,2014-11-11,2015-03-16,6184
Chadiza,2014-11-11,2015-03-16,6150
Chadiza,2014-11-12,2015-03-17,6280
Chadiza,2014-11-13,2015-03-18,6260
Chadiza,2015-01-02,2015-05-20,6208
Chadiza,2015-01-03,2015-05-21,6057
Chadiza,2015-01-03,2015-05-21,5991
Chadiza,2015-01-03,2015-05-21,6100
Chadiza,2015-01-04,2015-05-22,6037
Chadiza,2015-01-05,2015-05-23,6148
Chadiza,2015-01-06,2015-05-25,5890
Chadiza,2015-01-06,2015-05-25,6241
Chadiza,2015-01-07,2015-05-26,6123
Chadiza,2015-01-07,2015-05-26,6124
Chadiza,2015-01-07,2015-05-26,6041
Chadiza,2015-01-07,2015-05-26,5920
Chadiza,2015-01-08,2015-05-27,6098
Chadiza,2015-01-08,2015-05-27,6177
Chadiza,2015-01-09,2015-05-28,6406
Chadiza,2015-01-10,2015-05-29,6234
Chadiza,2015-01-11,2015-05-30,6239
Chadiza,2015-01-13,2015-06-01,6031
