cname,planting,harvest,gwad
Chadiza,2019-10-15,2019-12-13,200
Chadiza,2019-10-16,2019-12-14,127
Chadiza,2019-10-16,2019-12-14,86
Chadiza,2019-10-16,2019-12-14,198
Chadiza,2019-10-18,2019-12-15,143
Chadiza,2019-10-20,2019-12-17,239
Chadiza,2019-10-20,2019-12-17,188
Chadiza,2019-10-21,2019-12-19,74
Chadiza,2019-10-21,2019-12-19,167
Chadiza,2019-10-22,2019-12-20,357
Chadiza,2019-10-22,2019-12-20,373
Chadiza,2019-10-23,2019-12-21,318
Chadiza,2019-10-23,2019-12-21,418
Chadiza,2019-10-24,2019-12-23,521
Chadiza,2019-10-24,2019-12-23,669
Chadiza,2019-10-25,2019-12-24,655
Chadiza,2019-10-26,2019-12-26,618
Chadiza,2019-10-26,2019-12-26,783
Chadiza,2019-10-27,2019-12-27,1193
Chadiza,2019-10-28,2020-01-01,1754
Chadiza,2019-10-28,2020-01-01,1751
Chadiza,2019-10-29,2020-01-02,2080
Chadiza,2019-10-29,2020-01-02,1779
Chadiza,2019-10-31,2020-01-02,2010
Chadiza,2019-11-01,2020-01-03,2256
Chadiza,2019-11-04,2020-01-07,3263
Chadiza,2019-11-04,2020-01-07,3462
Chadiza,2019-11-04,2020-01-07,3303
Chadiza,2019-11-06,2020-01-13,3661
Chadiza,2019-11-07,2020-01-14,3938
Chadiza,2019-11-07,2020-01-14,3925
Chadiza,2019-11-08,2020-01-15,3950
Chadiza,2019-11-08,2020-01-15,3989
Chadiza,2019-11-08,2020-01-15,3942
Chadiza,2019-11-08,2020-01-15,4053
Chadiza,2019-11-09,2020-01-16,4082
Chadiza,2019-11-09,2020-01-16,4023
Chadiza,2019-11-09,2020-01-16,3892
Chadiza,2019-11-10,2020-01-17,3799
Chadiza,2019-11-10,2020-01-17,3943
Chadiza,2019-11-11,2020-01-18,3846
Chadiza,2019-11-11,2020-01-18,3987
Chadiza,2019-11-11,2020-01-18,3966
Chadiza,2019-11-12,2020-01-18,3808
Chadiza,2019-11-12,2020-01-18,3722
Chadiza,2019-11-12,2020-01-18,3599
Chadiza,2019-11-12,2020-01-18,3608
Chadiza,2019-11-13,2020-01-19,3844
Chadiza,2019-11-13,2020-01-19,3805
Chadiza,2019-11-13,2020-01-19,3586
Chadiza,2020-01-01,2020-03-13,3836
Chadiza,2020-01-01,2020-03-13,3825
Chadiza,2020-01-02,2020-03-14,3882
Chadiza,2020-01-02,2020-03-14,3820
Chadiza,2020-01-02,2020-03-14,3826
Chadiza,2020-01-02,2020-03-14,3872
Chadiza,2020-01-02,2020-03-14,3770
Chadiza,2020-01-03,2020-03-15,3899
Chadiza,2020-01-04,2020-03-16,3788
Chadiza,2020-01-04,2020-03-16,3693
Chadiza,2020-01-04,2020-03-16,3740
Chadiza,2020-01-05,2020-03-19,3708
Chadiza,2020-01-05,2020-03-19,3927
Chadiza,2020-01-06,2020-03-20,3815
Chadiza,2020-01-07,2020-03-21,3724
Chadiza,2020-01-08,2020-03-20,3716
Chadiza,2020-01-08,2020-03-20,3827
Chadiza,2020-01-08,2020-03-20,3558
Chadiza,2020-01-09,2020-03-21,3683
Chadiza,2020-01-09,2020-03-21,3582
Chadiza,2020-01-09,2020-03-21,3663
Chadiza,2020-01-09,2020-03-21,3579
Chadiza,2020-01-11,2020-03-23,4019
Chadiza,2020-01-11,2020-03-23,3793
Chadiza,2020-01-12,2020-03-24,3865
Chadiza,2020-01-13,2020-03-25,3832
Chadiza,2020-01-13,2020-03-25,3753
Chadiza,2020-01-15,2020-03-27,3514
Chadiza,2020-01-15,2020-03-27,3680
Chadiza,2020-01-16,2020-03-29,3695
Chadiza,2020-01-16,2020-03-29,3936
Chadiza,2020-01-17,2020-03-29,3639
Chadiza,2020-01-18,2020-03-30,3622
Chadiza,2020-01-18,2020-03-30,3870
Chadiza,2020-01-18,2020-03-30,3775
Chadiza,2020-01-19,2020-03-31,3827
Chadiza,2020-01-19,2020-03-31,3652
Chadiza,2020-01-19,2020-03-31,3693
Chadiza,2020-01-20,2020-04-01,3876
Chadiza,2020-01-22,2020-04-03,3784
Chadiza,2020-01-22,2020-04-03,3837
Chadiza,2020-01-23,2020-04-06,3734
Chadiza,2020-01-23,2020-04-06,4175
Chadiza,2020-01-23,2020-04-06,3757
Chadiza,2020-01-24,2020-04-07,3918
Chadiza,2020-01-24,2020-04-07,3836
Chadiza,2020-01-25,2020-04-08,3849
Chadiza,2020-01-25,2020-04-08,3830
Chadiza,2020-01-30,2020-04-13,4089
Chadiza,2020-01-30,2020-04-13,4141
Chama,2019-10-15,2019-12-13,2712
Chama,2019-10-16,2019-12-14,1982
Chama,2019-10-16,2019-12-14,3014
Chama,2019-10-16,2019-12-14,1543
Chama,2019-10-16,2019-12-14,1379
Chama,2019-10-17,2019-12-13,1380
Chama,2019-10-17,2019-12-13,1046
Chama,2019-10-18,2019-12-15,2810
Chama,2019-10-18,2019-12-15,2745
Chama,2019-10-18,2019-12-15,2792
Chama,2019-10-18,2019-12-15,1573
Chama,2019-10-19,2019-12-16,3041
Chama,2019-10-19,2019-12-16,1537
Chama,2019-10-19,2019-12-16,3043
Chama,2019-10-20,2019-12-17,3332
Chama,2019-10-20,2019-12-17,3285
Chama,2019-10-21,2019-12-19,2709
Chama,2019-10-22,2019-12-20,3978
Chama,2019-10-22,2019-12-20,3993
Chama,2019-10-24,2019-12-23,4109
Chama,2019-10-25,2019-12-24,4369
Chama,2019-10-25,2019-12-24,4421
Chama,2019-10-25,2019-12-24,4343
Chama,2019-10-25,2019-12-24,4355
Chama,2019-10-26,2019-12-26,4582
Chama,2019-10-26,2019-12-26,4611
Chama,2019-10-27,2019-12-27,4563
Chama,2019-10-28,2020-01-01,4541
Chama,2019-10-29,2020-01-02,4679
Chama,2019-10-29,2020-01-02,4673
Chama,2019-10-29,2020-01-02,4609
Chama,2019-11-01,2020-01-03,4550
Chama,2019-11-01,2020-01-03,4512
Chama,2019-11-02,2020-01-04,4325
Chama,2019-11-03,2020-01-06,4304
Chama,2019-11-03,2020-01-06,4175
Chama,2019-11-03,2020-01-06,4182
Chama,2019-11-04,2020-01-07,4228
Chama,2019-11-04,2020-01-07,4314
Chama,2019-11-07,2020-01-14,4400
Chama,2019-11-09,2020-01-16,4346
Chama,2019-11-09,2020-01-16,4359
Chama,2019-11-09,2020-01-16,4225
Chama,2019-11-10,2020-01-17,4084
Chama,2019-11-11,2020-01-18,4156
Chama,2019-11-11,2020-01-18,4169
Chama,2019-11-12,2020-01-18,4003
Chama,2019-11-13,2020-01-19,4071
Chama,2019-11-13,2020-01-19,4063
Chama,2019-11-13,2020-01-19,3965
Chama,2020-01-01,2020-03-13,3796
Chama,2020-01-01,2020-03-13,3872
Chama,2020-01-03,2020-03-15,3804
Chama,2020-01-03,2020-03-15,3848
