cname,planting,harvest,gwad
Chadiza,2012-10-14,2013-01-21,4382
Chadiza,2012-10-14,2013-01-21,4174
Chadiza,2012-10-14,2013-01-21,4350
Chadiza,2012-10-15,2013-01-22,4327
Chadiza,2012-10-16,2013-01-23,4473
Chadiza,2012-10-17,2013-01-25,4591
Chadiza,2012-10-18,2013-01-26,4600
Chadiza,2012-10-18,2013-01-26,4463
Chadiza,2012-10-18,2013-01-26,4437
Chadiza,2012-10-20,2013-01-29,4597
Chadiza,2012-10-20,2013-01-29,4534
Chadiza,2012-10-20,2013-01-29,4606
Chadiza,2012-10-21,2013-01-31,4448
Chadiza,2012-10-21,2013-01-31,4556
Chadiza,2012-10-21,2013-01-31,4604
Chadiza,2012-10-21,2013-01-31,4613
Chadiza,2012-10-21,2013-01-31,4560
Chadiza,2012-10-21,2013-01-31,4581
Chadiza,2012-10-22,2013-02-01,4769
Chadiza,2012-10-22,2013-02-01,4720
Chadiza,2012-10-23,2013-02-03,4848
Chadiza,2012-10-23,2013-02-03,4705
Chadiza,2012-10-24,2013-02-05,4569
Chadiza,2012-10-25,2013-02-06,4803
Chadiza,2012-10-27,2013-02-09,4758
Chadiza,2012-10-29,2013-02-13,4716
Chadiza,2012-10-29,2013-02-13,4980
Chadiza,2012-10-30,2013-02-15,4682
Chadiza,2012-10-30,2013-02-15,4664
Chadiza,2012-10-31,2013-02-16,4860
Chadiza,2012-10-31,2013-02-16,4951
Chadiza,2012-11-01,2013-02-18,4704
Chadiza,2012-11-02,2013-02-16,4720
Chadiza,2012-11-02,2013-02-16,4652
Chadiza,2012-11-03,2013-02-17,4808
Chadiza,2012-11-03,2013-02-17,4804
Chadiza,2012-11-04,2013-02-19,4880
Chadiza,2012-11-04,2013-02-19,4702
Chadiza,2012-11-04,2013-02-19,4968
Chadiza,2012-11-04,2013-02-19,5046
Chadiza,2012-11-05,2013-02-20,5030
Chadiza,2012-11-05,2013-02-20,4795
Chadiza,2012-11-06,2013-02-20,4788
Chadiza,2012-11-06,2013-02-20,4796
Chadiza,2012-11-06,2013-02-20,4777
Chadiza,2012-11-09,2013-02-26,4798
Chadiza,2012-11-10,2013-03-01,5235
Chadiza,2012-11-11,2013-03-02,4907
Chadiza,2012-11-12,2013-03-03,4880
Chadiza,2012-11-12,2013-03-03,4886
Chadiza,2013-01-01,2013-05-01,5173
Chadiza,2013-01-01,2013-05-01,4838
Chadiza,2013-01-01,2013-05-01,4775
Chadiza,2013-01-01,2013-05-01,5077
Chadiza,2013-01-02,2013-05-03,4745
Chadiza,2013-01-02,2013-05-03,4782
Chadiza,2013-01-04,2013-05-05,4892
Chadiza,2013-01-04,2013-05-05,5099
Chadiza,2013-01-05,2013-05-06,4875
Chadiza,2013-01-05,2013-05-06,5328
Chadiza,2013-01-06,2013-05-07,5332
Chadiza,2013-01-06,2013-05-07,4844
Chadiza,2013-01-06,2013-05-07,4978
Chadiza,2013-01-07,2013-05-08,4853
Chadiza,2013-01-07,2013-05-08,5056
Chadiza,2013-01-07,2013-05-08,4880
Chadiza,2013-01-07,2013-05-08,4819
Chadiza,2013-01-08,2013-05-10,5243
Chadiza,2013-01-08,2013-05-10,4880
Chadiza,2013-01-09,2013-05-11,4801
Chadiza,2013-01-10,2013-05-11,4930
Chadiza,2013-01-10,2013-05-11,5431
Chadiza,2013-01-10,2013-05-11,5227
Chadiza,2013-01-15,2013-05-16,5013
Chadiza,2013-01-17,2013-05-18,5170
Chadiza,2013-01-17,2013-05-18,4900
Chadiza,2013-01-17,2013-05-18,4850
Chadiza,2013-01-17,2013-05-18,4948
Chadiza,2013-01-19,2013-05-20,4991
Chadiza,2013-01-19,2013-05-20,4981
Chadiza,2013-01-19,2013-05-20,5282
Chadiza,2013-01-20,2013-05-21,4963
Chadiza,2013-01-20,2013-05-21,4900
Chadiza,2013-01-21,2013-05-22,5158
Chadiza,2013-01-22,2013-05-23,4744
Chadiza,2013-01-22,2013-05-23,5135
Chadiza,2013-01-22,2013-05-23,4941
Chadiza,2013-01-23,2013-05-24,4790
Chadiza,2013-01-23,2013-05-24,4795
Chadiza,2013-01-26,2013-05-27,4750
Chadiza,2013-01-27,2013-05-28,4964
Chadiza,2013-01-28,2013-05-29,4839
Chadiza,2013-01-28,2013-05-29,5088
Chadiza,2013-01-28,2013-05-29,4816
Chadiza,2013-01-28,2013-05-29,5071
Chadiza,2013-01-29,2013-06-01,4734
Chadiza,2013-01-29,2013-06-01,4909
Chadiza,2013-01-29,2013-06-01,4778
Chadiza,2013-01-30,2013-06-02,4635
Chadiza,2013-01-30,2013-06-02,4249
Chama,2012-10-14,2013-01-21,4894
Chama,2012-10-14,2013-01-21,5136
Chama,2012-10-14,2013-01-21,4777
Chama,2012-10-14,2013-01-21,4842
Chama,2012-10-16,2013-01-23,4982
Chama,2012-10-16,2013-01-23,4857
Chama,2012-10-19,2013-01-28,5326
Chama,2012-10-20,2013-01-29,5275
Chama,2012-10-20,2013-01-29,5324
Chama,2012-10-20,2013-01-29,5097
Chama,2012-10-21,2013-01-31,5287
Chama,2012-10-21,2013-01-31,5100
Chama,2012-10-22,2013-02-01,5298
Chama,2012-10-23,2013-02-03,5411
Chama,2012-10-26,2013-02-08,5160
Chama,2012-10-26,2013-02-08,5092
Chama,2012-10-27,2013-02-09,5175
Chama,2012-10-27,2013-02-09,5103
Chama,2012-10-27,2013-02-09,5130
Chama,2012-10-28,2013-02-11,5313
Chama,2012-10-28,2013-02-11,5355
Chama,2012-10-29,2013-02-13,5427
Chama,2012-10-29,2013-02-13,5409
Chama,2012-10-29,2013-02-13,5452
Chama,2012-10-30,2013-02-15,5508
Chama,2012-10-31,2013-02-16,5256
Chama,2012-11-01,2013-02-18,5332
Chama,2012-11-01,2013-02-18,5263
Chama,2012-11-02,2013-02-16,5228
Chama,2012-11-02,2013-02-16,5214
Chama,2012-11-03,2013-02-17,5214
Chama,2012-11-03,2013-02-17,5175
Chama,2012-11-03,2013-02-17,5230
Chama,2012-11-04,2013-02-19,5673
Chama,2012-11-04,2013-02-19,5306
Chama,2012-11-04,2013-02-19,5263
Chama,2012-11-05,2013-02-20,5362
Chama,2012-11-05,2013-02-20,5370
Chama,2012-11-06,2013-02-20,5326
Chama,2012-11-06,2013-02-20,4944
Chama,2012-11-07,2013-02-23,5446
Chama,2012-11-09,2013-02-26,5337
Chama,2012-11-09,2013-02-26,5268
Chama,2012-11-10,2013-03-01,5831
Chama,2012-11-10,2013-03-01,6534
Chama,2012-11-10,2013-03-01,5401
Chama,2012-11-10,2013-03-01,5278
Chama,2012-11-11,2013-03-02,5286
Chama,2012-11-12,2013-03-03,5565
Chama,2012-11-12,2013-03-03,5532
Chama,2013-01-02,2013-05-03,4924
Chama,2013-01-02,2013-05-03,5123
Chama,2013-01-02,2013-05-03,5064
Chama,2013-01-02,2013-05-03,4884
Chama,2013-01-05,2013-05-06,5200
Chama,2013-01-06,2013-05-07,5061
Chama,2013-01-06,2013-05-07,5250
Chama,2013-01-07,2013-05-08,5431
Chama,2013-01-07,2013-05-08,5171
Chama,2013-01-10,2013-05-11,5158
Chama,2013-01-11,2013-05-12,5107
Chama,2013-01-11,2013-05-12,4848
Chama,2013-01-12,2013-05-13,4927
Chama,2013-01-13,2013-05-14,5530
Chama,2013-01-14,2013-05-15,5155
Chama,2013-01-15,2013-05-16,5092
Chama,2013-01-15,2013-05-16,5153
Chama,2013-01-16,2013-05-17,5239
Chama,2013-01-16,2013-05-17,5236
Chama,2013-01-17,2013-05-18,5264
Chama,2013-01-17,2013-05-18,5010
Chama,2013-01-17,2013-05-18,4889
Chama,2013-01-17,2013-05-18,5244
Chama,2013-01-17,2013-05-18,4839
Chama,2013-01-18,2013-05-19,5129
Chama,2013-01-20,2013-05-21,5116
Chama,2013-01-20,2013-05-21,4968
Chama,2013-01-21,2013-05-22,5173
Chama,2013-01-22,2013-05-23,4749
Chama,2013-01-22,2013-05-23,5095
Chama,2013-01-22,2013-05-23,4939
Chama,2013-01-22,2013-05-23,5122
Chama,2013-01-22,2013-05-23,5070
Chama,2013-01-23,2013-05-24,5022
Chama,2013-01-23,2013-05-24,5008
Chama,2013-01-23,2013-05-24,4991
Chama,2013-01-23,2013-05-24,5088
Chama,2013-01-23,2013-05-24,4971
Chama,2013-01-24,2013-05-25,5077
Chama,2013-01-25,2013-05-26,5025
Chama,2013-01-25,2013-05-26,5041
Chama,2013-01-26,2013-05-27,5043
Chama,2013-01-27,2013-05-28,5017
Chama,2013-01-27,2013-05-28,4978
Chama,2013-01-28,2013-05-29,4967
Chama,2013-01-28,2013-05-29,4883
Chama,2013-01-28,2013-05-29,5199
Chama,2013-01-29,2013-06-01,5056
Chama,2013-01-30,2013-06-02,4947
Chama,2013-01-30,2013-06-02,5340
Chasefu,2012-10-14,2013-01-21,4016
Chasefu,2012-10-14,2013-01-21,3598
Chasefu,2012-10-15,2013-01-22,3994
Chasefu,2012-10-15,2013-01-22,4062
Chasefu,2012-10-16,2013-01-23,4178
Chasefu,2012-10-16,2013-01-23,4201
Chasefu,2012-10-17,2013-01-25,4254
Chasefu,2012-10-18,2013-01-26,4454
Chasefu,2012-10-18,2013-01-26,4487
Chasefu,2012-10-20,2013-01-29,4454
Chasefu,2012-10-20,2013-01-29,4772
Chasefu,2012-10-20,2013-01-29,4375
Chasefu,2012-10-21,2013-01-31,4559
Chasefu,2012-10-21,2013-01-31,4755
Chasefu,2012-10-22,2013-02-01,4738
Chasefu,2012-10-22,2013-02-01,4573
Chasefu,2012-10-23,2013-02-03,4758
Chasefu,2012-10-23,2013-02-03,4782
Chasefu,2012-10-24,2013-02-05,4853
Chasefu,2012-10-24,2013-02-05,4759
Chasefu,2012-10-25,2013-02-06,4675
Chasefu,2012-10-26,2013-02-08,4604
Chasefu,2012-10-26,2013-02-08,4655
Chasefu,2012-10-26,2013-02-08,4813
Chasefu,2012-10-27,2013-02-09,4601
Chasefu,2012-10-28,2013-02-11,4634
Chasefu,2012-10-28,2013-02-11,4637
Chasefu,2012-10-29,2013-02-13,4906
Chasefu,2012-10-30,2013-02-15,4561
Chasefu,2012-10-30,2013-02-15,4633
Chasefu,2012-10-30,2013-02-15,4627
Chasefu,2012-10-31,2013-02-16,4694
Chasefu,2012-11-01,2013-02-18,4751
Chasefu,2012-11-02,2013-02-16,4576
Chasefu,2012-11-02,2013-02-16,4901
Chasefu,2012-11-02,2013-02-16,4828
Chasefu,2012-11-03,2013-02-17,4568
Chasefu,2012-11-03,2013-02-17,4560
Chasefu,2012-11-03,2013-02-17,4599
Chasefu,2012-11-04,2013-02-19,4600
Chasefu,2012-11-07,2013-02-23,4737
Chasefu,2012-11-07,2013-02-23,4456
Chasefu,2012-11-08,2013-02-24,4589
Chasefu,2012-11-08,2013-02-24,4689
Chasefu,2012-11-08,2013-02-24,4674
Chasefu,2012-11-10,2013-03-01,4604
Chasefu,2012-11-11,2013-03-02,4814
Chasefu,2012-11-11,2013-03-02,4565
Chasefu,2012-11-11,2013-03-02,4808
Chasefu,2012-11-12,2013-03-03,5078
Chasefu,2013-01-01,2013-05-01,4902
