cname,planting,harvest,gwad
Chadiza,2016-10-14,2016-12-09,482
Chadiza,2016-10-14,2016-12-09,689
Chadiza,2016-10-14,2016-12-09,478
Chadiza,2016-10-14,2016-12-09,364
Chadiza,2016-10-16,2016-12-11,1063
Chadiza,2016-10-16,2016-12-11,737
Chadiza,2016-10-17,2016-12-12,683
Chadiza,2016-10-19,2016-12-15,1170
Chadiza,2016-10-20,2016-12-16,714
Chadiza,2016-10-20,2016-12-16,211
Chadiza,2016-10-20,2016-12-16,338
Chadiza,2016-10-21,2016-12-18,1629
Chadiza,2016-10-21,2016-12-18,1530
Chadiza,2016-10-21,2016-12-18,1667
Chadiza,2016-10-21,2016-12-18,1205
Chadiza,2016-10-22,2016-12-19,698
Chadiza,2016-10-22,2016-12-19,1184
Chadiza,2016-10-22,2016-12-19,1470
Chadiza,2016-10-24,2016-12-22,2024
Chadiza,2016-10-25,2016-12-23,2854
Chadiza,2016-10-26,2016-12-24,3501
Chadiza,2016-10-26,2016-12-24,2827
Chadiza,2016-10-27,2016-12-25,3401
Chadiza,2016-10-28,2016-12-27,3066
Chadiza,2016-10-28,2016-12-27,3643
Chadiza,2016-10-29,2016-12-28,3799
Chadiza,2016-10-30,2016-12-29,3966
Chadiza,2016-10-30,2016-12-29,3935
Chadiza,2016-11-02,2017-01-02,3962
Chadiza,2016-11-04,2017-01-08,4190
Chadiza,2016-11-04,2017-01-08,4278
Chadiza,2016-11-04,2017-01-08,4350
Chadiza,2016-11-05,2017-01-10,4204
Chadiza,2016-11-05,2017-01-10,4214
Chadiza,2016-11-05,2017-01-10,4008
Chadiza,2016-11-06,2017-01-11,4113
Chadiza,2016-11-07,2017-01-12,3891
Chadiza,2016-11-08,2017-01-13,3919
Chadiza,2016-11-09,2017-01-14,3751
Chadiza,2016-11-09,2017-01-14,3702
Chadiza,2016-11-09,2017-01-14,3709
Chadiza,2016-11-09,2017-01-14,3749
Chadiza,2016-11-09,2017-01-14,3821
Chadiza,2016-11-09,2017-01-14,3808
Chadiza,2016-11-09,2017-01-14,3781
Chadiza,2016-11-10,2017-01-15,3839
Chadiza,2016-11-11,2017-01-17,3678
Chadiza,2016-11-11,2017-01-17,3791
Chadiza,2016-11-12,2017-01-18,3720
Chadiza,2016-11-12,2017-01-18,3716
Chadiza,2017-01-01,2017-03-18,4089
Chadiza,2017-01-01,2017-03-18,4107
Chadiza,2017-01-02,2017-03-19,4197
Chadiza,2017-01-02,2017-03-19,4152
Chadiza,2017-01-03,2017-03-20,4413
Chadiza,2017-01-03,2017-03-20,4355
Chadiza,2017-01-04,2017-03-21,4563
Chadiza,2017-01-04,2017-03-21,4326
Chadiza,2017-01-05,2017-03-22,4416
Chadiza,2017-01-05,2017-03-22,4451
Chadiza,2017-01-05,2017-03-22,4411
Chadiza,2017-01-06,2017-03-23,4344
Chadiza,2017-01-06,2017-03-23,4747
Chadiza,2017-01-06,2017-03-23,4364
Chadiza,2017-01-07,2017-03-24,4532
Chadiza,2017-01-07,2017-03-24,4333
Chadiza,2017-01-07,2017-03-24,4330
Chadiza,2017-01-08,2017-03-25,4495
Chadiza,2017-01-08,2017-03-25,4564
Chadiza,2017-01-09,2017-03-26,4334
Chadiza,2017-01-09,2017-03-26,4615
Chadiza,2017-01-09,2017-03-26,4385
Chadiza,2017-01-09,2017-03-26,4395
Chadiza,2017-01-10,2017-03-27,4396
Chadiza,2017-01-10,2017-03-27,4370
Chadiza,2017-01-10,2017-03-27,4385
Chadiza,2017-01-11,2017-03-29,4535
Chadiza,2017-01-12,2017-03-30,4210
Chadiza,2017-01-12,2017-03-30,4403
Chadiza,2017-01-13,2017-03-31,4234
Chadiza,2017-01-13,2017-03-31,4253
Chadiza,2017-01-14,2017-04-01,4103
Chadiza,2017-01-14,2017-04-01,4287
