cname,planting,harvest,gwad
Chadiza,2014-10-15,2015-01-31,3028
Chadiza,2014-10-15,2015-01-31,3233
Chadiza,2014-10-16,2015-02-02,3380
Chadiza,2014-10-16,2015-02-02,3397
Chadiza,2014-10-16,2015-02-02,3366
Chadiza,2014-10-18,2015-02-05,3444
Chadiza,2014-10-18,2015-02-05,3294
Chadiza,2014-10-21,2015-02-10,3362
Chadiza,2014-10-21,2015-02-10,3417
Chadiza,2014-10-21,2015-02-10,3467
Chadiza,2014-10-21,2015-02-10,3403
Chadiza,2014-10-22,2015-02-12,3589
Chadiza,2014-10-22,2015-02-12,3589
Chadiza,2014-10-23,2015-02-13,3474
Chadiza,2014-10-24,2015-02-15,3535
Chadiza,2014-10-24,2015-02-15,3601
Chadiza,2014-10-24,2015-02-15,3514
Chadiza,2014-10-25,2015-02-17,3384
Chadiza,2014-10-26,2015-02-18,3532
Chadiza,2014-10-26,2015-02-18,3525
Chadiza,2014-10-27,2015-02-20,3604
Chadiza,2014-10-27,2015-02-20,3613
Chadiza,2014-10-28,2015-02-22,3534
Chadiza,2014-10-28,2015-02-22,3568
Chadiza,2014-10-28,2015-02-22,3551
Chadiza,2014-10-28,2015-02-22,3561
Chadiza,2014-10-28,2015-02-22,3556
Chadiza,2014-10-29,2015-02-23,3516
Chadiza,2014-10-29,2015-02-23,3514
Chadiza,2014-10-30,2015-02-25,3580
Chadiza,2014-10-30,2015-02-25,3561
Chadiza,2014-10-31,2015-02-25,3580
Chadiza,2014-11-02,2015-02-24,3676
Chadiza,2014-11-04,2015-02-28,3528
Chadiza,2014-11-04,2015-02-28,3533
Chadiza,2014-11-04,2015-02-28,3533
Chadiza,2014-11-05,2015-03-01,3892
Chadiza,2014-11-05,2015-03-01,3891
Chadiza,2014-11-05,2015-03-01,3892
Chadiza,2014-11-05,2015-03-01,3892
Chadiza,2014-11-07,2015-03-08,3654
Chadiza,2014-11-08,2015-03-09,3601
Chadiza,2014-11-08,2015-03-09,3601
Chadiza,2014-11-09,2015-03-11,3750
Chadiza,2014-11-09,2015-03-11,3750
Chadiza,2014-11-10,2015-03-13,3680
Chadiza,2014-11-10,2015-03-13,3680
Chadiza,2014-11-11,2015-03-14,3843
Chadiza,2014-11-12,2015-03-15,3756
Chadiza,2014-11-13,2015-03-15,3786
Chadiza,2015-01-01,2015-05-15,4354
Chadiza,2015-01-01,2015-05-15,4354
Chadiza,2015-01-02,2015-05-16,4258
Chadiza,2015-01-02,2015-05-16,4258
