cname,planting,harvest,gwad
Chadiza,2012-10-15,2013-02-02,4475
Chadiza,2012-10-15,2013-02-02,4562
Chadiza,2012-10-16,2013-02-03,4913
Chadiza,2012-10-17,2013-02-04,5053
Chadiza,2012-10-17,2013-02-04,5087
Chadiza,2012-10-18,2013-02-06,5325
Chadiza,2012-10-19,2013-02-07,5346
Chadiza,2012-10-19,2013-02-07,5492
Chadiza,2012-10-19,2013-02-07,5482
Chadiza,2012-10-20,2013-02-09,5765
Chadiza,2012-10-20,2013-02-09,5453
Chadiza,2012-10-20,2013-02-09,5429
Chadiza,2012-10-21,2013-02-10,5434
Chadiza,2012-10-21,2013-02-10,5656
Chadiza,2012-10-21,2013-02-10,5313
Chadiza,2012-10-21,2013-02-10,5510
Chadiza,2012-10-22,2013-02-12,5335
Chadiza,2012-10-23,2013-02-14,5363
Chadiza,2012-10-24,2013-02-16,5513
Chadiza,2012-10-25,2013-02-17,5354
Chadiza,2012-10-27,2013-02-20,5088
Chadiza,2012-10-27,2013-02-20,5138
Chadiza,2012-10-27,2013-02-20,5211
Chadiza,2012-10-27,2013-02-20,5139
Chadiza,2012-10-27,2013-02-20,5434
Chadiza,2012-10-27,2013-02-20,5442
Chadiza,2012-10-29,2013-02-24,5257
Chadiza,2012-10-30,2013-02-25,5301
Chadiza,2012-10-31,2013-02-27,5916
Chadiza,2012-10-31,2013-02-27,5556
Chadiza,2012-10-31,2013-02-27,5512
Chadiza,2012-10-31,2013-02-27,5558
Chadiza,2012-11-01,2013-03-01,5594
Chadiza,2012-11-04,2013-03-06,5519
Chadiza,2012-11-04,2013-03-06,5640
Chadiza,2012-11-04,2013-03-06,5545
Chadiza,2012-11-05,2013-03-04,5919
Chadiza,2012-11-05,2013-03-04,5474
Chadiza,2012-11-06,2013-03-06,5571
Chadiza,2012-11-07,2013-03-07,5703
Chadiza,2012-11-08,2013-03-08,6027
Chadiza,2012-11-08,2013-03-08,5534
Chadiza,2012-11-08,2013-03-08,5791
Chadiza,2012-11-09,2013-03-08,6188
Chadiza,2012-11-09,2013-03-08,5601
Chadiza,2012-11-10,2013-03-11,5527
Chadiza,2012-11-10,2013-03-11,6053
Chadiza,2012-11-11,2013-03-15,5766
Chadiza,2012-11-11,2013-03-15,5641
Chadiza,2012-11-12,2013-03-16,5864
Chadiza,2013-01-01,2013-05-12,5206
Chadiza,2013-01-02,2013-05-13,6026
Chadiza,2013-01-02,2013-05-13,6355
Chadiza,2013-01-03,2013-05-14,5428
Chadiza,2013-01-03,2013-05-14,5235
Chadiza,2013-01-05,2013-05-16,5483
Chadiza,2013-01-07,2013-05-19,5694
Chadiza,2013-01-08,2013-05-20,5856
Chadiza,2013-01-08,2013-05-20,5321
Chadiza,2013-01-09,2013-05-21,5250
Chadiza,2013-01-10,2013-05-20,5104
Chadiza,2013-01-10,2013-05-20,5342
Chadiza,2013-01-10,2013-05-20,5296
Chadiza,2013-01-11,2013-05-23,5253
Chadiza,2013-01-11,2013-05-23,5281
Chadiza,2013-01-11,2013-05-23,5084
Chadiza,2013-01-11,2013-05-23,5181
Chadiza,2013-01-12,2013-05-22,5416
Chadiza,2013-01-14,2013-05-24,4919
