cname,planting,harvest,gwad
Chadiza,2015-10-15,2015-12-14,256
Chadiza,2015-10-16,2015-12-15,426
Chadiza,2015-10-16,2015-12-15,591
Chadiza,2015-10-18,2015-12-18,476
Chadiza,2015-10-19,2015-12-19,574
Chadiza,2015-10-20,2015-12-21,394
Chadiza,2015-10-20,2015-12-21,393
Chadiza,2015-10-20,2015-12-21,480
Chadiza,2015-10-22,2015-12-21,726
Chadiza,2015-10-22,2015-12-21,755
Chadiza,2015-10-25,2015-12-25,781
Chadiza,2015-10-26,2015-12-26,1103
Chadiza,2015-10-28,2016-01-01,1442
Chadiza,2015-10-29,2016-01-02,1632
Chadiza,2015-10-29,2016-01-02,1811
Chadiza,2015-10-29,2016-01-02,1913
Chadiza,2015-10-29,2016-01-02,1478
Chadiza,2015-10-30,2016-01-03,1813
Chadiza,2015-10-30,2016-01-03,2376
Chadiza,2015-10-31,2016-01-04,2591
Chadiza,2015-11-02,2016-01-06,3417
Chadiza,2015-11-02,2016-01-06,3196
Chadiza,2015-11-03,2016-01-05,2962
Chadiza,2015-11-03,2016-01-05,2946
Chadiza,2015-11-03,2016-01-05,3013
Chadiza,2015-11-03,2016-01-05,3093
Chadiza,2015-11-04,2016-01-07,3065
Chadiza,2015-11-04,2016-01-07,2526
Chadiza,2015-11-05,2016-01-08,3520
Chadiza,2015-11-05,2016-01-08,3500
Chadiza,2015-11-05,2016-01-08,3583
Chadiza,2015-11-05,2016-01-08,3292
Chadiza,2015-11-05,2016-01-08,3493
Chadiza,2015-11-05,2016-01-08,3716
Chadiza,2015-11-06,2016-01-09,3574
Chadiza,2015-11-06,2016-01-09,3702
Chadiza,2015-11-06,2016-01-09,3762
Chadiza,2015-11-07,2016-01-11,3756
Chadiza,2015-11-07,2016-01-11,3796
Chadiza,2015-11-08,2016-01-12,3894
Chadiza,2015-11-08,2016-01-12,3809
Chadiza,2015-11-08,2016-01-12,3960
Chadiza,2015-11-09,2016-01-13,3964
Chadiza,2015-11-09,2016-01-13,3885
Chadiza,2015-11-09,2016-01-13,3842
Chadiza,2015-11-10,2016-01-14,3698
Chadiza,2015-11-10,2016-01-14,3842
Chadiza,2015-11-11,2016-01-15,3813
Chadiza,2015-11-12,2016-01-15,3858
Chadiza,2015-11-13,2016-01-16,3806
Chadiza,2016-01-01,2016-03-11,3494
