,district,year,yield
173,chifunabuli,2004,4.30461
174,chifunabuli,2005,3.98781
175,chifunabuli,2006,3.9412900000000004
176,chifunabuli,2007,3.86496
177,chifunabuli,2008,4.00357
178,chifunabuli,2009,4.09487
179,chifunabuli,2010,3.96363
180,chifunabuli,2011,4.00967
181,chifunabuli,2012,4.0367500000000005
182,chifunabuli,2013,4.10217
183,chifunabuli,2014,3.99171
184,chifunabuli,2015,3.93431
185,chifunabuli,2016,3.9834199999999997
186,chifunabuli,2017,4.24779
187,chifunabuli,2018,3.80882
188,chifunabuli,2019,3.7882
189,chifunabuli,2020,3.99702
190,chifunabuli,2021,4.17246
191,chifunabuli,2022,3.983686274509804
192,chikankanta,1999,4.286366666666667
193,chikankanta,2000,4.19271
194,chikankanta,2001,4.1814100000000005
195,chikankanta,2002,4.2651
196,chikankanta,2003,3.9556
197,chikankanta,2004,4.32759
198,chikankanta,2005,3.97212
199,chikankanta,2006,3.99484
200,chikankanta,2007,3.92399
201,chikankanta,2008,4.0804599999999995
202,chikankanta,2009,4.1113100000000005
203,chikankanta,2010,3.93295
204,chikankanta,2011,4.02049
205,chikankanta,2012,3.99744
206,chikankanta,2013,4.19575
207,chikankanta,2014,3.97065
208,chikankanta,2015,3.9066300000000003
209,chikankanta,2016,3.95695
210,chikankanta,2017,4.24057
211,chikankanta,2018,3.84906
212,chikankanta,2019,3.7163299999999997
213,chikankanta,2020,3.94969
214,chikankanta,2021,4.24386
215,chikankanta,2022,3.8028301886792457
216,chilanga,1999,4.25208
217,chilanga,2000,4.17958
218,chilanga,2001,4.20228
219,chilanga,2002,4.25205
220,chilanga,2003,3.95783
221,chilanga,2004,4.33301
222,chilanga,2005,4.06138
223,chilanga,2006,3.9126600000000002
224,chilanga,2007,3.89097
225,chilanga,2008,4.05788
226,chilanga,2009,4.08397
227,chilanga,2010,3.92102
228,chilanga,2011,4.00176
229,chilanga,2012,3.98293
230,chilanga,2013,4.15085
231,chilanga,2014,3.9947399999999997
232,chilanga,2015,3.9281400000000004
233,chilanga,2016,3.9115300000000004
234,chilanga,2017,4.28949
235,chilanga,2018,3.8253000000000004
236,chilanga,2019,3.78359
237,chilanga,2020,3.94714
238,chilanga,2021,4.19738
239,chilanga,2022,3.659181818181818
240,chililabombwe,1999,4.256946666666667
241,chililabombwe,2000,4.11686
242,chililabombwe,2001,4.177029999999999
243,chililabombwe,2002,4.36763
244,chililabombwe,2003,4.06921
245,chililabombwe,2004,4.37774
246,chililabombwe,2005,4.02127
247,chililabombwe,2006,4.11899
248,chililabombwe,2007,4.05516
249,chililabombwe,2008,4.12155
250,chililabombwe,2009,4.10817
251,chililabombwe,2010,4.03153
252,chililabombwe,2011,3.98707
253,chililabombwe,2012,4.08741
254,chililabombwe,2013,4.26032
255,chililabombwe,2014,4.0586400000000005
256,chililabombwe,2015,3.88914
257,chililabombwe,2016,4.04758
258,chililabombwe,2017,4.25748
259,chililabombwe,2018,3.9332499999999997
260,chililabombwe,2019,3.72734
261,chililabombwe,2020,3.91507
262,chililabombwe,2021,4.10356
263,chililabombwe,2022,4.03092
264,chilubi,1999,4.22126
265,chilubi,2000,4.17796
266,chilubi,2001,4.18209
267,chilubi,2002,4.255269999999999
268,chilubi,2003,3.99913
269,chilubi,2004,4.2889100000000004
270,chilubi,2005,3.9600099999999996
271,chilubi,2006,3.90213
272,chilubi,2007,3.8841
273,chilubi,2008,4.03272
274,chilubi,2009,4.09791
275,chilubi,2010,3.9568700000000003
276,chilubi,2011,3.9892899999999996
277,chilubi,2012,4.02247
278,chilubi,2013,4.12845
279,chilubi,2014,3.9995999999999996
280,chilubi,2015,3.92132
281,chilubi,2016,4.07466
282,chilubi,2017,4.25927
283,chilubi,2018,3.89867
284,chilubi,2019,3.77433
285,chilubi,2020,3.95823
286,chilubi,2021,4.17447
287,chilubi,2022,3.838846153846154
288,chingola,1999,4.31668
289,chingola,2000,4.16174
290,chingola,2001,4.15717
291,chingola,2002,4.05276
292,chingola,2003,3.9340300000000004
293,chingola,2004,4.34791
294,chingola,2005,3.9493099999999997
295,chingola,2006,3.9282
296,chingola,2007,3.90509
297,chingola,2008,4.02134
298,chingola,2009,4.10442
299,chingola,2010,3.9467000000000003
300,chingola,2011,4.01563
301,chingola,2012,4.0413499999999996
302,chingola,2013,4.14511
303,chingola,2014,3.99383
304,chingola,2015,3.86745
305,chingola,2016,3.9674099999999997
306,chingola,2017,4.2581999999999995
307,chingola,2018,3.88299
308,chingola,2019,3.78911
309,chingola,2020,3.9608600000000003
310,chingola,2021,4.11402
311,chingola,2022,3.690727272727273
312,chinsali,1999,4.3300399999999994
313,chinsali,2000,4.16066
314,chinsali,2001,4.1736200000000006
315,chinsali,2002,4.30188
316,chinsali,2003,3.95849
317,chinsali,2004,4.29466
318,chinsali,2005,4.02929
319,chinsali,2006,3.9095999999999997
