district_b,yield,preharvest_yield,correlation,rmse,ubrmse,bias,yield_corrected
chadiza,4.002790138888889,2.510959207265195,0.3300710578997587,1.4976544319671228,0.3371898279418608,1.4592024594014716,2.543587679487417
chama,4.0212224999999995,2.63993206414405,0.0440190712621378,1.4431726023406424,0.5246251576577965,1.3444387691892832,2.6767837308107163
chavuma,4.022218055555555,2.662905691165642,0.0823782385167438,1.428006320869604,0.5313918947577462,1.3254526421676918,2.6967654133878636
chibombo,4.009595,2.5414071439235895,0.3328788837058676,1.4661288821981138,0.3190282669611072,1.4309978560764105,2.5785971439235897
chiengi,4.017078472222222,2.6059385600153195,-0.0365872306775942,1.4236042341690174,0.3691039933108003,1.374922273318014,2.6421561989042077
chililabombwe,4.039873611111111,2.85505242022076,-0.3022013259163952,1.2705730779676656,0.5576981206693409,1.1416342464459066,2.8982393646652045
chilubi,4.0304955555555555,2.7783811900768094,0.1774947862662588,1.259814347132204,0.3242706534735093,1.2173663099231904,2.813129245632365
chingola,3.9716830555555553,3.282682955598153,0.4619912817882837,0.9488831015883008,0.6804469452183045,0.6613403777351807,3.3103426778203744
chinsali,4.024774027777778,3.471827649012156,0.7355460566686038,0.5896744742709197,0.2850805251691796,0.5161831843211769,3.5085908434566013
chipata,3.9872147222222227,2.371482592029134,0.3222949140423661,1.5994136033115531,0.2243844971945472,1.5835957413041992,2.4036189809180235
choma,4.016027083333333,2.337908033114567,0.5416661876696208,1.7790806859804764,0.6770100475027208,1.6452311335521,2.3707959497812334
chongwe,4.011208611111111,2.826303829686506,0.0243755996170089,1.1940974892444436,0.3225177656339965,1.1497178369801602,2.8614907741309508
gwembe,4.009011805555556,2.2190314301617087,0.5215688268248819,1.9033432819642728,0.7314416638906431,1.7571877365049575,2.251824069050598
ikelenge,4.021844861111111,2.935615340149545,-0.3880616794795706,1.151461754127087,0.4228622946078367,1.0711355689413644,2.950709292169747
isoka,4.025072083333334,3.3978897406559407,0.2335418717076041,0.6629780141381318,0.2885116711158951,0.596909426010726,3.428162657322608
itezhitezhi,4.005052083333333,2.201348930796209,-0.4796888759906748,1.8931062605073752,0.6648616789824128,1.772515235870458,2.2325368474628755
kabompo,4.026939166666667,2.863304348437261,-0.3358953852292777,1.201818786365158,0.4096181996809214,1.1298589848960718,2.897080181770595
kabwe,4.010230972222222,3.19697286729482,0.4611957573595765,1.0214101215587,0.6700468947750069,0.7709187993718464,3.2393121728503753
kafue,4.020371111111111,2.9018195697175924,0.513453051340556,1.1848675586587858,0.4843864422637089,1.0813329302824075,2.939038180828704
kalabo,4.021290138888889,1.069267264407462,0.1125533141293424,2.9196559914210094,0.2441252022159602,2.9094319022592043,1.111858236629685
kalomo,4.015744027777778,2.222470880603086,0.2980462671020357,1.8219773380745532,0.4742939481306919,1.759160786063581,2.256583241714197
