district_b,yield,preharvest_yield,correlation,rmse,ubrmse,bias,yield_corrected
monze,4.009398611111111,2.250388990318587,0.5472469003554902,1.7856600959519071,0.4795092278228248,1.7200735096814128,2.2893251014296983
mpika,4.018781944444444,3.6355036857661944,0.2779662116293981,0.4207411284300788,0.2492668728317105,0.3389529809004722,3.679828963543972
mpongwe,3.992231527777778,3.2528022726092694,-0.1172408520512481,0.7850924449452145,0.3084983824117528,0.721941060724064,3.2702904670537136
mporokoso,4.019129861111111,3.0800184040404193,0.0408483190984718,0.9600923236045824,0.3183655060082871,0.9057707626262472,3.113359098484864
mpulungu,4.011950416666667,2.643493059753072,0.5483512193551587,1.4675318965988298,0.6303031524544257,1.3252802735802611,2.686670143086406
mufulira,3.985676527777778,3.587248603454475,-0.1715002609021496,0.7523892778817945,0.6527956303901256,0.3740955632121916,3.6115809645655865
mufumbwe,4.025006944444445,2.7220795480632205,-0.2463833263597092,1.3099254204113813,0.3501713703477276,1.262253785270113,2.7627531591743315
mumbwa,4.008374027777777,2.3077442231959036,0.1559488581906745,1.7324386380379453,0.4883774680294073,1.6621766101374291,2.346197417640348
mungwi,4.011089166666666,3.3837038995023137,0.1145213712328769,0.6466569270858633,0.2479540064829101,0.5972302671643529,3.4138588995023134
mwense,4.01260875,2.6572572471146803,-0.173329586278022,1.334944458928054,0.2536109135801613,1.3106327528853197,2.7019759971146806
mwinilunga,4.016417916666667,3.6065173001127975,-0.375010705041652,0.5726916729725011,0.4339816886715282,0.3736785332205358,3.642739383446131
nakonde,4.047474370155039,2.974661852268881,0.0032945516473968,1.1598009660914634,0.4013858616105611,1.0881303557229896,2.95934401443205
namwala,4.004863194444444,1.956963431799867,0.2294672019448397,2.078712922046665,0.5357197427740131,2.0084949015334668,1.9963682929109772
nchelenge,4.010277916666666,2.654359640683404,-0.2709990242405908,1.3898659187497415,0.4542358854181932,1.3135436926499295,2.696734224016737
ndola,4.02201125,3.0018204761389407,0.0137083211138458,1.056981015220749,0.4176737056027824,0.9709570238610592,3.051054226138941
nyimba,3.9957981944444447,2.039259775717859,-0.082207195772078,2.0180426597784056,0.5638043789816213,1.9376843909488075,2.058113803495637
petauke,4.010288888888889,1.912877106269228,0.2861269005176781,2.082330225883998,0.2524530868707298,2.0669703937307715,1.9433184951581173
samfya,4.0122856944444445,3.079517837158076,0.5448107786933801,0.9520457513645902,0.3521528874406849,0.8845221628419244,3.12776353160252
senanga,4.022183194444445,0.9445562152238383,0.208361394410057,3.053119463640803,0.2349768785998614,3.0440637847761614,0.9781194096682833
serenje,4.015147916666667,3.207389964655132,0.1590563578302934,0.8226751272261327,0.2922196032948431,0.769026702011535,3.246121214655132
sesheke,4.016113472222222,0.9668607818107283,-0.2499712340699279,3.030858726975588,0.417523007916893,3.0019625515226047,1.0141509206996173
shangombo,4.0213979166666665,0.9927960040773529,0.2657005416401944,3.01146425162254,0.3193861158215511,2.994479829255981,1.0269180874106856
siavonga,4.015349722222222,1.8068097813609674,0.5702962795396829,2.199657272894372,0.3799532849560211,2.1665935519723662,1.8487561702498558
sinazongwe,3.997217222222222,1.6657751054749765,0.2833742167719152,2.335272504907141,0.4574461035354843,2.290030727858357,1.707186494363865
solwezi,4.004948611111112,2.0943495131613905,-0.5984705760412508,1.9422927451626344,0.4666339658771843,1.8854054868386088,2.1195431242725027
zambezi,4.016459722222222,2.1963919733885753,0.3371830285381826,1.8290997525709585,0.3981297401319763,1.7852446932780912,2.2312150289441304
