index,district,season_year,yield,zyield,flag,yield_bias
565,ikelenge,2012,4.07454,0.2991364885260879,0,3.0034044310586356
566,ikelenge,2013,3.96237,-0.3376231941596768,0,2.8912344310586358
567,ikelenge,2014,3.91016,-0.6340056764011317,0,2.8390244310586352
568,ikelenge,2015,4.01702,-0.027389471606617,0,2.9458844310586354
569,ikelenge,2016,4.14505,0.6994032731046189,0,3.073914431058636
570,ikelenge,2017,4.04188,0.1137342309124913,0,2.9707444310586357
571,ikelenge,2018,3.67545,-1.9663928130970103,1,2.6043144310586355
572,ikelenge,2019,3.9483,-0.4174948954647422,0,2.8771644310586355
573,ikelenge,2020,4.16995,0.8407540451370289,0,3.098814431058636
574,ikelenge,2021,3.95497,-0.3796310541211168,0,2.8838344310586352
575,ikelenge,2022,3.58173,-2.498416682770812,1,2.5105944310586352
288,chingola,1999,4.250133333333333,1.5513909398830106,0,3.5887929555981524
289,chingola,2000,4.11668,0.8078531927389705,0,3.4553396222648187
290,chingola,2001,3.95596,-0.0876012986262219,0,3.294619622264819
291,chingola,2002,4.05227,0.448991670907015,0,3.390929622264819
292,chingola,2003,4.22142,1.3914140652227371,0,3.560079622264819
293,chingola,2004,3.86005,-0.6219656606647747,0,3.1987096222648193
294,chingola,2005,4.03082,0.3294825940044316,0,3.3694796222648193
295,chingola,2006,3.78888,-1.0184906491569403,0,3.127539622264819
296,chingola,2007,4.05699,0.4752892393443195,0,3.395649622264819
297,chingola,2008,4.05223,0.4487688101575449,0,3.390889622264819
298,chingola,2009,3.79275,-0.9969288716458444,0,3.131409622264819
299,chingola,2010,4.043229999999999,0.3986251415270878,0,3.3818896222648185
300,chingola,2011,4.1215,0.8347079130499504,0,3.460159622264819
301,chingola,2012,4.08409,0.6262773971093563,0,3.422749622264819
302,chingola,2013,3.95604,-0.0871555771272865,0,3.294699622264819
303,chingola,2014,3.79946,-0.959543980922472,0,3.138119622264819
304,chingola,2015,3.89684,-0.4169894863409455,0,3.235499622264819
305,chingola,2016,4.10625,0.7497422523150126,0,3.4449096222648192
306,chingola,2017,4.07628,0.582763835775594,0,3.4149396222648187
307,chingola,2018,3.56327,-2.2754809913477154,1,2.901929622264819
308,chingola,2019,3.88994,-0.455432965624294,0,3.2285996222648192
309,chingola,2020,4.15568,1.0251424234709463,0,3.4943396222648193
310,chingola,2021,3.92019,-0.2868945238385993,0,3.258849622264819
311,chingola,2022,3.52944,-2.46396547021086,1,2.868099622264819
2616,sinazongwe,1999,4.288653333333333,1.6881684929488343,0,1.9986226054749765
2617,sinazongwe,2000,4.15431,0.9099732936429032,0,1.8642792721416428
2618,sinazongwe,2001,4.2125,1.2470438242307935,0,1.9224692721416434
2619,sinazongwe,2002,3.94927,-0.2777383680127098,0,1.659239272141643
2620,sinazongwe,2003,4.23805,1.39504437512477,0,1.9480192721416434
2621,sinazongwe,2004,4.06298,0.3809364907800101,0,1.7729492721416427
2622,sinazongwe,2005,4.059340000000001,0.3598514807896413,0,1.7693092721416437
2623,sinazongwe,2006,3.77882,-1.265084508908145,0,1.4887892721416431
2624,sinazongwe,2007,4.0603,0.3654123625453398,0,1.7702692721416429
2625,sinazongwe,2008,4.02941,0.1864794068852671,0,1.7393792721416435
2626,sinazongwe,2009,3.76412,-1.350235510792353,0,1.4740892721416432
2627,sinazongwe,2010,4.028090000000001,0.1788331944711766,0,1.7380592721416437
