district,season_year,yield,zyield,flag
chadiza,1999,4.261113333333333,1.5020186886268387,0
chadiza,2000,4.16892,0.965961096387473,0
chadiza,2001,4.1476299999999995,0.8421705171108476,0
chadiza,2002,4.04045,0.21897304003858994,0
chadiza,2003,4.23746,1.3644865216396884,0
chadiza,2004,4.04879,0.2674659207885707,0
chadiza,2005,4.0281400000000005,0.14739661773257082,0
chadiza,2006,3.8344799999999997,-0.9786383086512169,0
chadiza,2007,4.02517,0.1301275702712456,0
chadiza,2008,4.02285,0.11663794397149092,0
chadiza,2009,3.80093,-1.1737145855291236,0
chadiza,2010,4.041,0.2221710117906897,0
chadiza,2011,4.18547,1.062190973655113,0
chadiza,2012,4.05524,0.3049694076995253,0
chadiza,2013,3.95187,-0.2960748468718477,0
chadiza,2014,3.86459,-0.8035638914591469,0
chadiza,2015,3.9641,-0.2249635840934016,0
chadiza,2016,4.11757,0.6673868246235181,0
chadiza,2017,4.14503,0.8270528324645757,0
chadiza,2018,3.6731599999999998,-1.9166324960117032,0
chadiza,2019,3.89315,-0.6375019401139,0
chadiza,2020,4.09779,0.5523761314299256,0
chadiza,2021,3.94755,-0.32119346136104426,0
chadiza,2022,3.51451,-2.8391019841392815,2
chama,1999,4.24734,1.3233635972717546,0
chama,2000,4.14229,0.7085533950830771,0
chama,2001,4.29954,1.6288666201584643,0
chama,2002,4.012440000000001,-0.05140000571843745,0
chama,2003,4.2619,1.4085767009734849,0
chama,2004,4.06241,0.24105183438977398,0
chama,2005,4.05032,0.17029452506601472,0
chama,2006,3.8313900000000003,-1.1110038810755047,0
chama,2007,4.044989999999999,0.13910044246091158,0
chama,2008,4.07897,0.33797003475383436,0
chama,2009,3.82153,-1.1687100076207733,0
chama,2010,4.04723,0.15221015072271946,0
chama,2011,4.17417,0.8951326358805551,0
chama,2012,4.05928,0.22273335811323586,0
chama,2013,3.9248000000000003,-0.564317341461567,0
chama,2014,3.97414,-0.2755526068019864,0
chama,2015,3.99639,-0.14533340643360854,0
chama,2016,4.133109999999999,0.654827001402997,0
chama,2017,4.13321,0.6554122562361171,0
chama,2018,3.6592200000000004,-2.118637127251842,1
chama,2019,3.94155,-0.46628715691458866,0
chama,2020,4.11465,0.5467889592097319,0
chama,2021,3.92286,-0.5756712852240248,0
chama,2022,3.5756099999999997,-2.607968693220386,2
chasefu,1999,4.302673333333333,1.7061223490461022,0
chasefu,2000,4.09713,0.5295797831135873,0
chasefu,2001,4.125249999999999,0.6905403767630454,0
chasefu,2002,4.05271,0.27531699613247046,0
chasefu,2003,4.25824,1.4517832412524436,0
chasefu,2004,4.0179,0.07606243479044432,0
chasefu,2005,4.02601,0.12248456901865108,0
chasefu,2006,3.76546,-1.3689195090527255,0
chasefu,2007,4.04615,0.23776715636218168,0
chasefu,2008,4.09497,0.5172158114819079,0
chasefu,2009,3.77422,-1.3187767352131348,0
chasefu,2010,4.03043,0.1477849183760679,0
chasefu,2011,4.17112,0.9531030521080274,0
chasefu,2012,4.05804,0.3058262409458275,0
chasefu,2013,3.91581,-0.5083069466346437,0
chasefu,2014,3.9398500000000003,-0.3707005216227985,0
chasefu,2015,4.03043,0.1477849183760679,0
chasefu,2016,4.14874,0.8249985682575669,0
chasefu,2017,4.12387,0.6826411726650319,0
chasefu,2018,3.66731,-1.9307360903718789,0
chasefu,2019,3.9169099999999997,-0.502010479599994,0
chasefu,2020,4.08965,0.48676380727795454,0
chasefu,2021,3.92046,-0.48169006326088964,0
chasefu,2022,3.53735,-2.67463505021128,2
chavuma,1999,4.274073333333333,1.4178399051656005,0
chavuma,2000,4.08929,0.37758700230333175,0
chavuma,2001,4.32619,1.7112349468586079,0
chavuma,2002,4.04324,0.11834475727686246,0
chavuma,2003,4.27628,1.4302625158212314,0
chavuma,2004,4.07838,0.3161682641222511,0
chavuma,2005,4.0228399999999995,0.003501287167414794,0
chavuma,2006,3.79674,-1.2693471732122694,0
chavuma,2007,4.0416,0.10911224301316147,0
chavuma,2008,4.03458,0.06959257829902991,0
chavuma,2009,3.8176,-1.1519140954434917,0
chavuma,2010,4.09536,0.4117585642427612,0
chavuma,2011,4.25511,1.311084267673343,0
chavuma,2012,4.06521,0.24202667091924332,0
chavuma,2013,3.9944,-0.1566040211616318,0
chavuma,2014,3.91874,-0.5825381853028396,0
chavuma,2015,3.97098,-0.28844882851277076,0
chavuma,2016,4.14437,0.6876643715988354,0
chavuma,2017,4.10715,0.47813133446777617,0
chavuma,2018,3.69305,-1.8530785171166009,0
chavuma,2019,3.8880500000000002,-0.7553100528351369,0
chavuma,2020,4.12135,0.5580713969949378,0
chavuma,2021,3.8836500000000003,-0.7800802130548209,0
chavuma,2022,3.595,-2.405059019284791,1
chembe,1999,4.2838199999999995,1.5579892584161394,0
chembe,2000,4.14785,0.7616352100874755,0
chembe,2001,4.31936,1.7661412248616857,0
chembe,2002,3.9555700000000003,-0.3645172971761555,0
chembe,2003,4.20946,1.1224749020601836,0
chembe,2004,4.09237,0.43669792538294805,0
chembe,2005,4.02727,0.05541787429670592,0
chembe,2006,3.81772,-1.1718821979785894,0
chembe,2007,4.043279999999999,0.14918582541637693,0
chembe,2008,4.09314,0.44120768942805505,0
chembe,2009,3.80812,-1.2281078276318589,0
chembe,2010,4.037389999999999,0.11468905888952682,0
chembe,2011,4.19627,1.0452232296511599,0
chembe,2012,4.09187,0.4337695071718418,0
chembe,2013,3.8985399999999997,-0.6985326783351195,0
chembe,2014,3.9442399999999997,-0.4308752538398622,0
chembe,2015,3.9671600000000002,-0.2966365630426757,0
