province_b,year,yield
central,1999,4.276296969696969
central,2000,4.152528181818182
central,2001,4.227885454545454
central,2002,4.012503636363636
central,2003,4.246661818181818
central,2004,4.075728181818182
central,2005,4.016318181818182
central,2006,3.8084527272727273
central,2007,4.047779090909091
central,2008,4.078966363636364
central,2009,3.7969545454545455
central,2010,4.04819
central,2011,4.187438181818181
central,2012,4.068515454545454
central,2013,3.9275145454545455
central,2014,3.9350590909090912
central,2015,3.966218181818182
central,2016,4.1231563636363635
central,2017,4.08738090909091
central,2018,3.6666009090909095
central,2019,3.8993281818181815
central,2020,4.124779090909091
central,2021,3.9002054545454543
central,2022,3.560296363636364
copperbelt,1999,4.2702919999999995
copperbelt,2000,4.126156
copperbelt,2001,3.9965420000000003
copperbelt,2002,4.036454000000001
copperbelt,2003,4.262805
copperbelt,2004,3.952418
copperbelt,2005,4.044480999999999
copperbelt,2006,3.835027
copperbelt,2007,4.089112
copperbelt,2008,4.085635
copperbelt,2009,3.813334
copperbelt,2010,4.083467000000001
copperbelt,2011,4.159103
copperbelt,2012,4.1025599999999995
copperbelt,2013,3.959451
copperbelt,2014,3.8301119999999997
copperbelt,2015,3.9622150000000005
copperbelt,2016,4.144428
copperbelt,2017,4.101198999999999
copperbelt,2018,3.6404180000000004
copperbelt,2019,3.9022370000000004
copperbelt,2020,4.128741
copperbelt,2021,3.897141
copperbelt,2022,3.527326
eastern,1999,4.2784088888888885
eastern,2000,4.145333333333333
eastern,2001,4.168887333333333
eastern,2002,4.012838666666666
eastern,2003,4.251047333333333
eastern,2004,4.0282686666666665
eastern,2005,4.034329333333334
eastern,2006,3.81425
eastern,2007,4.050248
eastern,2008,4.074672666666666
eastern,2009,3.797464666666667
eastern,2010,4.056015333333334
eastern,2011,4.172861999999999
eastern,2012,4.07513
eastern,2013,3.940654
eastern,2014,3.9154240000000002
eastern,2015,3.952764
eastern,2016,4.133624666666667
eastern,2017,4.1072999999999995
eastern,2018,3.6715286666666667
eastern,2019,3.899885333333333
eastern,2020,4.119252666666666
eastern,2021,3.914856
eastern,2022,3.5581313333333333
luapula,1999,4.281545
luapula,2000,4.152310833333334
luapula,2001,4.292721666666666
luapula,2002,3.992344166666667
luapula,2003,4.25856
luapula,2004,4.091830833333334
luapula,2005,4.021889166666667
luapula,2006,3.81831
luapula,2007,4.0509025
luapula,2008,4.072488333333333
luapula,2009,3.794245833333333
luapula,2010,4.044872499999999
luapula,2011,4.1907950000000005
luapula,2012,4.069031666666667
luapula,2013,3.9290641666666666
luapula,2014,3.914124166666667
luapula,2015,3.968038333333334
luapula,2016,4.127540833333334
luapula,2017,4.0838025
luapula,2018,3.6749508333333334
luapula,2019,3.909144166666667
luapula,2020,4.1141016666666665
luapula,2021,3.8912324999999996
luapula,2022,3.5506675
lusaka,1999,4.282557777777778
lusaka,2000,4.143173333333333
lusaka,2001,4.230415
lusaka,2002,3.9998750000000007
lusaka,2003,4.230078333333334
lusaka,2004,4.040326666666666
lusaka,2005,4.034635
lusaka,2006,3.8000716666666663
lusaka,2007,4.0360249999999995
lusaka,2008,4.06309
lusaka,2009,3.79367
lusaka,2010,4.04732
lusaka,2011,4.181665
lusaka,2012,4.075748333333333
lusaka,2013,3.9390233333333335
lusaka,2014,3.9279916666666668
lusaka,2015,3.9800733333333334
lusaka,2016,4.1072766666666665
lusaka,2017,4.076663333333333
lusaka,2018,3.6774966666666664
lusaka,2019,3.908455
lusaka,2020,4.137918333333333
lusaka,2021,3.8962616666666663
lusaka,2022,3.578165
muchinga,1999,4.2768793604651165
muchinga,2000,4.11855125
muchinga,2001,4.31446625
muchinga,2002,3.9918224999999996
muchinga,2003,4.2560525
muchinga,2004,4.0637275
muchinga,2005,4.02179375
muchinga,2006,3.8261374999999997
muchinga,2007,4.06301125
muchinga,2008,4.05860125
muchinga,2009,3.78311
muchinga,2010,4.03979375
muchinga,2011,4.2080475
muchinga,2012,4.11266625
muchinga,2013,3.93669875
muchinga,2014,3.95672375
muchinga,2015,3.9305525
muchinga,2016,4.15364875
muchinga,2017,4.119295
muchinga,2018,3.692565
muchinga,2019,3.9002325
muchinga,2020,4.12856875
muchinga,2021,3.91342625
muchinga,2022,3.5510525
northern,1999,4.279739444444444
northern,2000,4.160293333333333
northern,2001,4.2907525
northern,2002,4.023314166666667
northern,2003,4.255790833333333
northern,2004,4.073160833333334
northern,2005,4.0262633333333335
northern,2006,3.8099358333333337
northern,2007,4.047545833333333
northern,2008,4.065659166666667
northern,2009,3.8094024999999996
northern,2010,4.052451666666667
northern,2011,4.197873333333333
northern,2012,4.068324166666667
northern,2013,3.9296583333333337
northern,2014,3.94744
northern,2015,3.9693375
northern,2016,4.1279975
northern,2017,4.0952633333333335
northern,2018,3.683930833333333
northern,2019,3.9159241666666667
northern,2020,4.129550833333333
northern,2021,3.9281433333333333
northern,2022,3.5689274999999996
northwestern,1999,4.294818787878788
northwestern,2000,4.137570909090909
northwestern,2001,4.249651818181818
northwestern,2002,4.008276363636363
northwestern,2003,4.25192
northwestern,2004,4.055829090909091
northwestern,2005,4.014515454545454
northwestern,2006,3.801617272727273
northwestern,2007,4.040983636363636
northwestern,2008,4.0585190909090905
northwestern,2009,3.813189090909091
northwestern,2010,4.0567590909090905
northwestern,2011,4.213478181818182
northwestern,2012,4.0642190909090905
northwestern,2013,3.9548936363636362
northwestern,2014,3.9226172727272726
northwestern,2015,3.981209090909091
northwestern,2016,4.13611
northwestern,2017,4.105281818181818
northwestern,2018,3.671657272727273
northwestern,2019,3.918538181818182
northwestern,2020,4.140072727272727
northwestern,2021,3.9109672727272726
northwestern,2022,3.5606236363636365
southern,1999,4.2740862222222225
southern,2000,4.136971333333333
southern,2001,4.270035333333333
southern,2002,4.00884
southern,2003,4.232668666666666
southern,2004,4.062277333333333
southern,2005,4.0305686666666665
southern,2006,3.798766
southern,2007,4.040434666666666
southern,2008,4.0608233333333335
southern,2009,3.7938913333333333
southern,2010,4.044857333333334
southern,2011,4.180487333333334
southern,2012,4.063026
southern,2013,3.9348526666666666
southern,2014,3.927204
southern,2015,3.9638673333333334
southern,2016,4.1262859999999995
southern,2017,4.094316666666667
southern,2018,3.668478
southern,2019,3.9122266666666667
southern,2020,4.126516
southern,2021,3.8940566666666667
southern,2022,3.5594693333333334
western,1999,4.29105125
western,2000,4.140535
western,2001,4.30657375
western,2002,4.0161425
western,2003,4.25085125
western,2004,4.08156125
western,2005,4.0200112500000005
western,2006,3.80045
western,2007,4.045882499999999
western,2008,4.076016875
western,2009,3.797351875
western,2010,4.049770625
western,2011,4.194740625
western,2012,4.0693975
western,2013,3.92561125
western,2014,3.941155625
western,2015,3.96306125
western,2016,4.11909
western,2017,4.10164375
western,2018,3.667211875
western,2019,3.917083125
western,2020,4.134029375
western,2021,3.90524875
western,2022,3.57603625
