province,correlation,rmse,ubrmse,bias
central,0.7699798562781098,1.9629836680042412,0.19217219592291715,1.9535543831604867
copperbelt,0.874979463684307,1.8426136825687893,0.1109472941230581,1.8392704752473157
eastern,-0.12152206510362695,2.26935586698742,0.09177675273151775,2.267499300702932
luapula,0.7190221506427416,1.4800086131429673,0.0503867689768294,1.4791506578065148
lusaka,0.5010591652167622,1.923918443471958,0.08528113839733305,1.922027394332666
muchinga,0.650258428649058,1.4409747117318754,0.12956914580899873,1.4351376088393362
northern,0.9604818287519838,1.603872552917785,0.15785463008142203,1.596085549638512
northwestern,0.8567478323310114,1.8442088977850757,0.2348764630811772,1.8291909429472146
southern,0.2901877842328764,2.720766632019072,0.14544132895040324,2.7168764943849664
western,-0.2590643205485043,3.30755144887792,0.2327956437769734,3.2993488410916614
