,district,season_year,cultivar,year,yield
110,chadiza,2016,cultivar5,2016,3.2018
111,chadiza,2016,cultivar5,2017,3.92264
112,chadiza,2016,cultivar6,2016,5.58938
113,chadiza,2016,cultivar6,2017,5.64636
114,chadiza,2016,cultivar7,2016,5.7011199999999995
115,chadiza,2016,cultivar7,2017,5.91976
116,chadiza,2016,cultivar8,2016,5.03156
117,chadiza,2016,cultivar8,2017,5.41488
118,chadiza,2016,cultivar9,2016,6.199059999999999
119,chadiza,2016,cultivar9,2017,5.655080000000001
120,chadiza,2017,cultivar1,2017,3.94558
121,chadiza,2017,cultivar1,2018,4.07604
122,chadiza,2017,cultivar10,2017,4.89152
123,chadiza,2017,cultivar10,2018,5.07296
124,chadiza,2017,cultivar2,2017,3.2418400000000003
125,chadiza,2017,cultivar2,2018,3.9144
126,chadiza,2017,cultivar3,2017,5.83394
127,chadiza,2017,cultivar3,2018,6.059
128,chadiza,2017,cultivar4,2017,2.62402
129,chadiza,2017,cultivar4,2018,2.65378
130,chadiza,2017,cultivar5,2017,3.80212
131,chadiza,2017,cultivar5,2018,3.63844
132,chadiza,2017,cultivar6,2017,5.74252
133,chadiza,2017,cultivar6,2018,5.95348
134,chadiza,2017,cultivar7,2017,5.89288
135,chadiza,2017,cultivar7,2018,6.11708
136,chadiza,2017,cultivar8,2017,5.7093799999999995
137,chadiza,2017,cultivar8,2018,5.601659999999999
138,chadiza,2017,cultivar9,2017,5.4826
139,chadiza,2017,cultivar9,2018,5.82042
140,chadiza,2018,cultivar1,2018,3.22262
141,chadiza,2018,cultivar1,2019,3.5863400000000003
142,chadiza,2018,cultivar10,2018,4.74072
143,chadiza,2018,cultivar10,2019,4.71124
144,chadiza,2018,cultivar2,2018,2.00264
145,chadiza,2018,cultivar2,2019,3.9410000000000003
146,chadiza,2018,cultivar3,2018,5.09374
147,chadiza,2018,cultivar3,2019,6.04524
148,chadiza,2018,cultivar4,2018,2.0307
149,chadiza,2018,cultivar4,2019,2.6498000000000004
150,chadiza,2018,cultivar5,2018,3.22876
151,chadiza,2018,cultivar5,2019,3.5778
152,chadiza,2018,cultivar6,2018,6.13376
153,chadiza,2018,cultivar6,2019,5.540940000000001
154,chadiza,2018,cultivar7,2018,6.62096
155,chadiza,2018,cultivar7,2019,5.78592
156,chadiza,2018,cultivar8,2018,5.55784
157,chadiza,2018,cultivar8,2019,5.2274
158,chadiza,2018,cultivar9,2018,5.93462
159,chadiza,2018,cultivar9,2019,6.01124
160,chadiza,2019,cultivar1,2019,3.58892
161,chadiza,2019,cultivar1,2020,4.04934
162,chadiza,2019,cultivar10,2019,4.30856
163,chadiza,2019,cultivar10,2020,4.87356
164,chadiza,2019,cultivar2,2019,2.27906
165,chadiza,2019,cultivar2,2020,3.7944799999999996
166,chadiza,2019,cultivar3,2019,5.81626
167,chadiza,2019,cultivar3,2020,5.89314
168,chadiza,2019,cultivar4,2019,2.29624
169,chadiza,2019,cultivar4,2020,2.61724
170,chadiza,2019,cultivar5,2019,3.16726
171,chadiza,2019,cultivar5,2020,3.61954
172,chadiza,2019,cultivar6,2019,5.2254
173,chadiza,2019,cultivar6,2020,5.84548
174,chadiza,2019,cultivar7,2019,5.793200000000001
175,chadiza,2019,cultivar7,2020,6.15314
176,chadiza,2019,cultivar8,2019,5.63018
177,chadiza,2019,cultivar8,2020,5.60814
178,chadiza,2019,cultivar9,2019,5.3090399999999995
179,chadiza,2019,cultivar9,2020,5.737100000000001
180,chadiza,2020,cultivar1,2020,3.71036
181,chadiza,2020,cultivar1,2021,4.3556
182,chadiza,2020,cultivar10,2020,4.80818
183,chadiza,2020,cultivar10,2021,4.96886
184,chadiza,2020,cultivar2,2020,2.93924
185,chadiza,2020,cultivar2,2021,4.06794
186,chadiza,2020,cultivar3,2020,6.4172
187,chadiza,2020,cultivar3,2021,6.36794
188,chadiza,2020,cultivar4,2020,2.5066
189,chadiza,2020,cultivar4,2021,2.7300400000000002
190,chadiza,2020,cultivar5,2020,3.16692
191,chadiza,2020,cultivar5,2021,3.85736
192,chadiza,2020,cultivar6,2020,6.5792399999999995
193,chadiza,2020,cultivar6,2021,5.97416
194,chadiza,2020,cultivar7,2020,5.6647
195,chadiza,2020,cultivar7,2021,6.08784
196,chadiza,2020,cultivar8,2020,5.2546
197,chadiza,2020,cultivar8,2021,5.445539999999999
198,chadiza,2020,cultivar9,2020,5.71418
199,chadiza,2020,cultivar9,2021,6.4082799999999995
200,chadiza,2021,cultivar1,2021,2.71478
201,chadiza,2021,cultivar1,2022,3.97688
202,chadiza,2021,cultivar10,2021,4.72824
203,chadiza,2021,cultivar10,2022,5.23148
204,chadiza,2021,cultivar2,2021,2.2995
205,chadiza,2021,cultivar2,2022,3.92016
206,chadiza,2021,cultivar3,2021,4.50336
207,chadiza,2021,cultivar3,2022,6.34082
208,chadiza,2021,cultivar4,2021,1.9850999999999999
209,chadiza,2021,cultivar4,2022,2.54808
210,chadiza,2021,cultivar5,2021,1.71496
211,chadiza,2021,cultivar5,2022,3.52728
212,chadiza,2021,cultivar6,2021,5.867100000000001
213,chadiza,2021,cultivar6,2022,6.35408
214,chadiza,2021,cultivar7,2021,4.85352
215,chadiza,2021,cultivar7,2022,6.583920000000001
216,chadiza,2021,cultivar8,2021,5.05854
217,chadiza,2021,cultivar8,2022,5.86402
218,chadiza,2021,cultivar9,2021,4.4344
219,chadiza,2021,cultivar9,2022,6.0412
220,chama,2011,cultivar1,2011,3.9188799999999997
221,chama,2011,cultivar1,2012,4.24718
222,chama,2011,cultivar10,2011,5.172859999999999
223,chama,2011,cultivar10,2012,5.15576
224,chama,2011,cultivar2,2011,3.9169599999999996
225,chama,2011,cultivar2,2012,3.9575400000000003
226,chama,2011,cultivar3,2011,6.811459999999999
227,chama,2011,cultivar3,2012,6.00744
228,chama,2011,cultivar4,2011,2.62664
229,chama,2011,cultivar4,2012,2.77318
230,chama,2011,cultivar5,2011,3.7518399999999996
231,chama,2011,cultivar5,2012,3.9300599999999997
232,chama,2011,cultivar6,2011,6.50084
233,chama,2011,cultivar6,2012,6.0034600000000005
234,chama,2011,cultivar7,2011,6.57768
235,chama,2011,cultivar7,2012,6.247000000000001
236,chama,2011,cultivar8,2011,6.75366
237,chama,2011,cultivar8,2012,5.65578
238,chama,2011,cultivar9,2011,6.3036
239,chama,2011,cultivar9,2012,6.11332
240,chama,2012,cultivar1,2012,3.54058
241,chama,2012,cultivar1,2013,4.510400000000001
242,chama,2012,cultivar10,2012,5.287279999999999
243,chama,2012,cultivar10,2013,5.0762599999999996
244,chama,2012,cultivar2,2012,4.02306
245,chama,2012,cultivar2,2013,4.383500000000001
246,chama,2012,cultivar3,2012,6.54452
247,chama,2012,cultivar3,2013,6.014880000000001
248,chama,2012,cultivar4,2012,2.4741999999999997
249,chama,2012,cultivar4,2013,2.84896
250,chama,2012,cultivar5,2012,3.5337799999999997
251,chama,2012,cultivar5,2013,3.9994400000000003
252,chama,2012,cultivar6,2012,6.44982
253,chama,2012,cultivar6,2013,5.9847
254,chama,2012,cultivar7,2012,6.93806
255,chama,2012,cultivar7,2013,6.2274400000000005
256,chama,2012,cultivar8,2012,6.36298
257,chama,2012,cultivar8,2013,5.7609
258,chama,2012,cultivar9,2012,6.50356
259,chama,2012,cultivar9,2013,5.97246
260,chama,2013,cultivar1,2013,3.73128
261,chama,2013,cultivar1,2014,4.11338
262,chama,2013,cultivar10,2013,4.9287
263,chama,2013,cultivar10,2014,5.29548
264,chama,2013,cultivar2,2013,3.89282
265,chama,2013,cultivar2,2014,4.52492
266,chama,2013,cultivar3,2013,6.4573599999999995
267,chama,2013,cultivar3,2014,6.67348
268,chama,2013,cultivar4,2013,2.43296
269,chama,2013,cultivar4,2014,2.6935599999999997
270,chama,2013,cultivar5,2013,3.5080400000000003
271,chama,2013,cultivar5,2014,3.76642
272,chama,2013,cultivar6,2013,6.27598
273,chama,2013,cultivar6,2014,6.7012
274,chama,2013,cultivar7,2013,6.986599999999999
275,chama,2013,cultivar7,2014,6.64058
276,chama,2013,cultivar8,2013,6.61254
277,chama,2013,cultivar8,2014,6.28184
278,chama,2013,cultivar9,2013,6.52018
279,chama,2013,cultivar9,2014,6.52768
280,chama,2014,cultivar1,2014,3.7338600000000004
281,chama,2014,cultivar1,2015,3.96202
282,chama,2014,cultivar10,2014,5.2046399999999995
283,chama,2014,cultivar10,2015,4.60372
284,chama,2014,cultivar2,2014,3.82006
285,chama,2014,cultivar2,2015,3.96344
286,chama,2014,cultivar3,2014,6.379099999999999
287,chama,2014,cultivar3,2015,5.849
288,chama,2014,cultivar4,2014,2.5732600000000003
289,chama,2014,cultivar4,2015,2.81126
290,chama,2014,cultivar5,2014,3.7748199999999996
291,chama,2014,cultivar5,2015,3.73958
292,chama,2014,cultivar6,2014,6.50764
293,chama,2014,cultivar6,2015,5.9351400000000005
294,chama,2014,cultivar7,2014,6.76096
295,chama,2014,cultivar7,2015,5.7818
296,chama,2014,cultivar8,2014,6.15196
297,chama,2014,cultivar8,2015,5.6184199999999995
298,chama,2014,cultivar9,2014,6.13058
299,chama,2014,cultivar9,2015,5.189360000000001
300,chama,2015,cultivar1,2015,3.7804599999999997
301,chama,2015,cultivar1,2016,4.04488
302,chama,2015,cultivar10,2015,4.85044
303,chama,2015,cultivar10,2016,5.0288
304,chama,2015,cultivar2,2015,3.7793599999999996
305,chama,2015,cultivar2,2016,3.84214
306,chama,2015,cultivar3,2015,5.813400000000001
307,chama,2015,cultivar3,2016,6.6119200000000005
308,chama,2015,cultivar4,2015,2.50428
309,chama,2015,cultivar4,2016,2.47248
310,chama,2015,cultivar5,2015,3.74402
311,chama,2015,cultivar5,2016,3.47448
312,chama,2015,cultivar6,2015,6.083819999999999
313,chama,2015,cultivar6,2016,6.45654
314,chama,2015,cultivar7,2015,5.9473
315,chama,2015,cultivar7,2016,6.38134
316,chama,2015,cultivar8,2015,6.08472
317,chama,2015,cultivar8,2016,5.895779999999999
318,chama,2015,cultivar9,2015,6.068
319,chama,2015,cultivar9,2016,6.26414
320,chama,2016,cultivar1,2016,3.7221999999999995
321,chama,2016,cultivar1,2017,4.4242799999999995
322,chama,2016,cultivar10,2016,5.25546
323,chama,2016,cultivar10,2017,5.303039999999999
324,chama,2016,cultivar2,2016,2.5439
325,chama,2016,cultivar2,2017,4.49608
326,chama,2016,cultivar3,2016,6.4730799999999995
327,chama,2016,cultivar3,2017,6.168780000000001
328,chama,2016,cultivar4,2016,2.50286
329,chama,2016,cultivar4,2017,2.77598
330,chama,2016,cultivar5,2016,3.71524
331,chama,2016,cultivar5,2017,3.94082
332,chama,2016,cultivar6,2016,6.6285
333,chama,2016,cultivar6,2017,5.987380000000001
334,chama,2016,cultivar7,2016,6.95914
335,chama,2016,cultivar7,2017,6.37976
336,chama,2016,cultivar8,2016,6.26818
337,chama,2016,cultivar8,2017,6.1950199999999995
338,chama,2016,cultivar9,2016,6.41256
