cname,planting,harvest,gwad
Central,2012-10-16,2013-01-23,2767
Central,2012-10-16,2013-01-23,2655
Central,2012-10-16,2013-01-23,2914
Central,2012-10-16,2013-01-23,3048
Central,2012-10-17,2013-01-24,2235
Central,2012-10-18,2013-01-26,3359
Central,2012-10-19,2013-01-27,2404
Central,2012-10-19,2013-01-27,2616
Central,2012-10-20,2013-01-29,2513
Central,2012-10-22,2013-02-01,2902
Central,2012-10-22,2013-02-01,2590
Central,2012-10-22,2013-02-01,3006
Central,2012-10-23,2013-02-03,3067
Central,2012-10-23,2013-02-03,2861
Central,2012-10-24,2013-02-04,3157
Central,2012-10-25,2013-02-06,3225
Central,2012-10-26,2013-02-08,2464
Central,2012-10-27,2013-02-09,3170
Central,2012-10-27,2013-02-09,3030
Central,2012-10-28,2013-02-11,3053
Central,2012-10-28,2013-02-11,4342
Central,2012-10-29,2013-02-13,3325
Central,2012-10-29,2013-02-13,3904
Central,2012-10-29,2013-02-13,2724
Central,2012-10-31,2013-02-16,2682
Central,2012-10-31,2013-02-16,2717
Central,2012-10-31,2013-02-16,5378
Central,2012-11-01,2013-02-18,2756
Central,2012-11-01,2013-02-18,3213
Central,2012-11-02,2013-02-16,2822
Central,2012-11-02,2013-02-16,2974
Central,2012-11-02,2013-02-16,4504
Central,2012-11-03,2013-02-17,2934
Central,2012-11-03,2013-02-17,3638
Central,2012-11-03,2013-02-17,3374
Central,2012-11-04,2013-02-19,3629
Central,2012-11-04,2013-02-19,3112
Central,2012-11-04,2013-02-19,3612
Central,2012-11-04,2013-02-19,3546
Central,2012-11-04,2013-02-19,3024
Central,2012-11-04,2013-02-19,3676
Central,2012-11-04,2013-02-19,4646
Central,2012-11-06,2013-02-20,3103
Central,2012-11-06,2013-02-20,3567
Central,2012-11-06,2013-02-20,2930
Central,2012-11-06,2013-02-20,5526
Central,2012-11-11,2013-03-02,3104
Central,2012-11-11,2013-03-02,3479
Central,2012-11-11,2013-03-02,4909
Central,2012-11-12,2013-03-03,4045
Central,2013-01-01,2013-05-01,2882
Central,2013-01-02,2013-05-03,2234
Central,2013-01-05,2013-05-06,2757
Central,2013-01-06,2013-05-07,2495
Central,2013-01-06,2013-05-07,3255
Central,2013-01-06,2013-05-07,4216
Central,2013-01-06,2013-05-07,2541
Central,2013-01-07,2013-05-08,3734
Central,2013-01-07,2013-05-08,4420
Central,2013-01-07,2013-05-08,2912
Central,2013-01-08,2013-05-10,3989
Central,2013-01-08,2013-05-10,3647
Central,2013-01-09,2013-05-11,3089
Central,2013-01-09,2013-05-11,3485
Central,2013-01-11,2013-05-12,4157
Central,2013-01-11,2013-05-12,2669
Central,2013-01-11,2013-05-12,2704
Central,2013-01-11,2013-05-12,2561
Central,2013-01-14,2013-05-15,3108
Central,2013-01-14,2013-05-15,4671
Central,2013-01-14,2013-05-15,3874
Central,2013-01-15,2013-05-16,3375
Central,2013-01-15,2013-05-16,3740
Central,2013-01-16,2013-05-17,3317
Central,2013-01-16,2013-05-17,5111
Central,2013-01-17,2013-05-18,3325
Central,2013-01-18,2013-05-19,3379
Central,2013-01-19,2013-05-20,3601
Central,2013-01-19,2013-05-20,3070
Central,2013-01-19,2013-05-20,3022
Central,2013-01-19,2013-05-20,3950
Central,2013-01-20,2013-05-21,4706
Central,2013-01-20,2013-05-21,3731
Central,2013-01-21,2013-05-22,3446
Central,2013-01-22,2013-05-23,3471
Central,2013-01-22,2013-05-23,3810
Central,2013-01-23,2013-05-24,2990
Central,2013-01-23,2013-05-24,3317
Central,2013-01-24,2013-05-25,3779
Central,2013-01-24,2013-05-25,3111
Central,2013-01-25,2013-05-26,3338
Central,2013-01-25,2013-05-26,3240
Central,2013-01-26,2013-05-27,2893
Central,2013-01-26,2013-05-27,3566
Central,2013-01-27,2013-05-28,3532
Central,2013-01-27,2013-05-28,3253
Central,2013-01-28,2013-05-30,3309
Central,2013-01-28,2013-05-30,2969
Central,2013-01-28,2013-05-30,3117
Central,2013-01-29,2013-05-30,3258
Copperbelt,2012-10-14,2013-01-20,3925
Copperbelt,2012-10-14,2013-01-20,2767
Copperbelt,2012-10-15,2013-01-22,2371
Copperbelt,2012-10-15,2013-01-22,2311
Copperbelt,2012-10-16,2013-01-23,2200
Copperbelt,2012-10-17,2013-01-24,2565
Copperbelt,2012-10-17,2013-01-24,2647
Copperbelt,2012-10-18,2013-01-26,1880
Copperbelt,2012-10-18,2013-01-26,1716
Copperbelt,2012-10-19,2013-01-27,2191
Copperbelt,2012-10-19,2013-01-27,2589
Copperbelt,2012-10-19,2013-01-27,2020
Copperbelt,2012-10-19,2013-01-27,1973
Copperbelt,2012-10-20,2013-01-29,2227
Copperbelt,2012-10-20,2013-01-29,2496
Copperbelt,2012-10-20,2013-01-29,2422
Copperbelt,2012-10-21,2013-01-31,2325
Copperbelt,2012-10-21,2013-01-31,2081
Copperbelt,2012-10-22,2013-02-01,2632
Copperbelt,2012-10-23,2013-02-03,2560
Copperbelt,2012-10-24,2013-02-04,2424
Copperbelt,2012-10-24,2013-02-04,3520
Copperbelt,2012-10-26,2013-02-08,2644
Copperbelt,2012-10-26,2013-02-08,2173
Copperbelt,2012-10-26,2013-02-08,2211
Copperbelt,2012-10-27,2013-02-09,3709
Copperbelt,2012-10-27,2013-02-09,2978
Copperbelt,2012-10-27,2013-02-09,2979
Copperbelt,2012-10-28,2013-02-11,2625
Copperbelt,2012-10-29,2013-02-13,2342
Copperbelt,2012-10-29,2013-02-13,2118
Copperbelt,2012-10-30,2013-02-15,2385
Copperbelt,2012-10-30,2013-02-15,2934
Copperbelt,2012-10-31,2013-02-16,3053
Copperbelt,2012-11-01,2013-02-18,3116
Copperbelt,2012-11-02,2013-02-16,2111
Copperbelt,2012-11-03,2013-02-17,3194
Copperbelt,2012-11-03,2013-02-17,2211
Copperbelt,2012-11-03,2013-02-17,2645
